dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",448,19,     537.031491
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,0,     945.539437
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,1,     957.890766
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,2,     951.578968
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,3,     947.653346
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,4,     940.590414
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,5,     945.611300
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,6,     950.000976
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,7,     947.932669
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,8,     953.412850
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,9,     947.069134
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,10,     954.106919
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,11,     940.474845
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,12,     949.302616
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,13,     945.478029
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,14,     947.476602
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,15,     943.173160
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,16,     950.191402
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,17,     948.013440
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,18,     954.556982
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",512,19,     950.108914
