dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,       2.045764
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,       1.664060
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,       1.553603
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,       1.454235
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,       1.462655
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,       1.453456
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,       1.592509
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,       1.610247
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,       1.536628
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,       1.609625
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,       1.654652
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,       1.692577
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,       1.576338
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,       1.649909
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       1.501318
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       1.493691
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       1.666307
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       1.606384
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       1.772842
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       1.667322
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,      14.434270
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,      14.297963
