dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"D | D | D | D",256,9,      16.572074
2,float,uniform,PoisFFT,"D | D | D | D",256,10,      16.579422
2,float,uniform,PoisFFT,"D | D | D | D",256,11,      16.573878
2,float,uniform,PoisFFT,"D | D | D | D",256,12,      16.965219
2,float,uniform,PoisFFT,"D | D | D | D",256,13,      16.569684
2,float,uniform,PoisFFT,"D | D | D | D",256,14,      16.573083
2,float,uniform,PoisFFT,"D | D | D | D",256,15,      16.563983
2,float,uniform,PoisFFT,"D | D | D | D",256,16,      16.571350
2,float,uniform,PoisFFT,"D | D | D | D",256,17,      16.566809
2,float,uniform,PoisFFT,"D | D | D | D",256,18,      16.569176
2,float,uniform,PoisFFT,"D | D | D | D",256,19,      16.563591
2,float,uniform,PoisFFT,"D | D | D | D",320,0,      26.192059
2,float,uniform,PoisFFT,"D | D | D | D",320,1,      26.861418
2,float,uniform,PoisFFT,"D | D | D | D",320,2,      26.656318
2,float,uniform,PoisFFT,"D | D | D | D",320,3,      27.083418
2,float,uniform,PoisFFT,"D | D | D | D",320,4,      26.826694
2,float,uniform,PoisFFT,"D | D | D | D",320,5,      26.694698
2,float,uniform,PoisFFT,"D | D | D | D",320,6,      26.642498
2,float,uniform,PoisFFT,"D | D | D | D",320,7,      26.743832
2,float,uniform,PoisFFT,"D | D | D | D",320,8,      26.863778
2,float,uniform,PoisFFT,"D | D | D | D",320,9,      26.614596
2,float,uniform,PoisFFT,"D | D | D | D",320,10,      27.596386
2,float,uniform,PoisFFT,"D | D | D | D",320,11,      26.548803
2,float,uniform,PoisFFT,"D | D | D | D",320,12,      26.427007
2,float,uniform,PoisFFT,"D | D | D | D",320,13,      26.907665
2,float,uniform,PoisFFT,"D | D | D | D",320,14,      26.337372
2,float,uniform,PoisFFT,"D | D | D | D",320,15,      26.681048
2,float,uniform,PoisFFT,"D | D | D | D",320,16,      26.672479
2,float,uniform,PoisFFT,"D | D | D | D",320,17,      26.851845
2,float,uniform,PoisFFT,"D | D | D | D",320,18,      27.136929
2,float,uniform,PoisFFT,"D | D | D | D",320,19,      26.740220
2,float,uniform,PoisFFT,"D | D | D | D",384,0,       9.974641
2,float,uniform,PoisFFT,"D | D | D | D",384,1,       9.768279
2,float,uniform,PoisFFT,"D | D | D | D",384,2,       9.777797
2,float,uniform,PoisFFT,"D | D | D | D",384,3,       9.779254
2,float,uniform,PoisFFT,"D | D | D | D",384,4,       9.788040
2,float,uniform,PoisFFT,"D | D | D | D",384,5,       9.777911
2,float,uniform,PoisFFT,"D | D | D | D",384,6,       9.781828
2,float,uniform,PoisFFT,"D | D | D | D",384,7,       9.778692
2,float,uniform,PoisFFT,"D | D | D | D",384,8,       9.789492
2,float,uniform,PoisFFT,"D | D | D | D",384,9,       9.791233
2,float,uniform,PoisFFT,"D | D | D | D",384,10,       9.773132
2,float,uniform,PoisFFT,"D | D | D | D",384,11,       9.784355
2,float,uniform,PoisFFT,"D | D | D | D",384,12,       9.777328
2,float,uniform,PoisFFT,"D | D | D | D",384,13,       9.777506
2,float,uniform,PoisFFT,"D | D | D | D",384,14,       9.775414
2,float,uniform,PoisFFT,"D | D | D | D",384,15,       9.786457
2,float,uniform,PoisFFT,"D | D | D | D",384,16,       9.777958
2,float,uniform,PoisFFT,"D | D | D | D",384,17,       9.791715
2,float,uniform,PoisFFT,"D | D | D | D",384,18,       9.768426
2,float,uniform,PoisFFT,"D | D | D | D",384,19,       9.794252
2,float,uniform,PoisFFT,"D | D | D | D",448,0,      54.769127
2,float,uniform,PoisFFT,"D | D | D | D",448,1,      54.750569
2,float,uniform,PoisFFT,"D | D | D | D",448,2,      54.746629
2,float,uniform,PoisFFT,"D | D | D | D",448,3,      54.764271
2,float,uniform,PoisFFT,"D | D | D | D",448,4,      54.741671
2,float,uniform,PoisFFT,"D | D | D | D",448,5,      54.740650
2,float,uniform,PoisFFT,"D | D | D | D",448,6,      54.728952
2,float,uniform,PoisFFT,"D | D | D | D",448,7,      55.477886
2,float,uniform,PoisFFT,"D | D | D | D",448,8,      55.190270
2,float,uniform,PoisFFT,"D | D | D | D",448,9,      54.754368
2,float,uniform,PoisFFT,"D | D | D | D",448,10,      54.748142
2,float,uniform,PoisFFT,"D | D | D | D",448,11,      54.752176
2,float,uniform,PoisFFT,"D | D | D | D",448,12,      55.022614
2,float,uniform,PoisFFT,"D | D | D | D",448,13,      54.741692
2,float,uniform,PoisFFT,"D | D | D | D",448,14,      54.741190
2,float,uniform,PoisFFT,"D | D | D | D",448,15,      54.746934
2,float,uniform,PoisFFT,"D | D | D | D",448,16,      54.746712
2,float,uniform,PoisFFT,"D | D | D | D",448,17,      54.739084
2,float,uniform,PoisFFT,"D | D | D | D",448,18,      55.273718
2,float,uniform,PoisFFT,"D | D | D | D",448,19,      54.756476
2,float,uniform,PoisFFT,"D | D | D | D",512,0,      23.571449
2,float,uniform,PoisFFT,"D | D | D | D",512,1,      23.614049
2,float,uniform,PoisFFT,"D | D | D | D",512,2,      23.615672
2,float,uniform,PoisFFT,"D | D | D | D",512,3,      23.611588
2,float,uniform,PoisFFT,"D | D | D | D",512,4,      23.599778
2,float,uniform,PoisFFT,"D | D | D | D",512,5,      24.986783
2,float,uniform,PoisFFT,"D | D | D | D",512,6,      23.442328
2,float,uniform,PoisFFT,"D | D | D | D",512,7,      23.449341
2,float,uniform,PoisFFT,"D | D | D | D",512,8,      23.445217
2,float,uniform,PoisFFT,"D | D | D | D",512,9,      23.434938
2,float,uniform,PoisFFT,"D | D | D | D",512,10,      23.451974
2,float,uniform,PoisFFT,"D | D | D | D",512,11,      23.420439
2,float,uniform,PoisFFT,"D | D | D | D",512,12,      23.415767
2,float,uniform,PoisFFT,"D | D | D | D",512,13,      23.424981
2,float,uniform,PoisFFT,"D | D | D | D",512,14,      23.436290
2,float,uniform,PoisFFT,"D | D | D | D",512,15,      23.581193
2,float,uniform,PoisFFT,"D | D | D | D",512,16,      23.446941
2,float,uniform,PoisFFT,"D | D | D | D",512,17,      23.447477
2,float,uniform,PoisFFT,"D | D | D | D",512,18,      23.476463
2,float,uniform,PoisFFT,"D | D | D | D",512,19,      23.442834
