dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,0,       1.191608
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,1,       0.780410
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,2,       0.765274
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,3,       0.767142
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,4,       0.777701
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,5,       0.775973
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,6,       0.761160
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,7,       0.787066
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,8,       0.765978
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,9,       0.768094
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,10,       0.788743
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,11,       0.795131
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,12,       0.765343
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,13,       0.762779
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,14,       0.762105
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,15,       0.781291
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,16,       0.784078
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,17,       0.767467
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,18,       0.772237
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,19,       0.775819
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,0,       6.491106
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,1,       6.414876
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,2,       6.237243
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,3,       6.387442
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,4,       6.247191
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,5,       6.441116
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,6,       6.284141
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,7,       6.242446
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,8,       6.233148
