dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.415129
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.916225
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.892371
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.943386
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.891901
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.881280
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.941910
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.923565
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.885505
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.934749
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.932044
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.880456
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.935882
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.947972
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.940572
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.876606
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.920027
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.933751
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.889127
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.885483
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       9.044168
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       8.735976
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       8.785782
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       9.041671
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       8.888355
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       8.774232
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       9.090002
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       8.791035
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       8.733307
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       8.960613
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       8.702827
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       9.066216
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,12,       8.939553
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,13,       9.031157
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,14,       8.848746
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,15,       8.889269
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,16,       8.788315
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,17,       8.664908
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,18,       8.789618
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,19,       8.802323
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,0,      41.279209
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,1,      40.796689
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,2,      41.028027
