dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,17,       8.985247
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,18,       9.317043
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,19,       9.162562
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,0,      48.168493
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,1,      48.413914
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,2,      48.556220
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,3,      48.745018
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,4,      48.672840
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,5,      48.363025
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,6,      48.340567
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,7,      48.531660
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,8,      48.907937
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,9,      48.447199
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,10,      47.275123
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,11,      48.218784
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,12,      48.457494
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,13,      47.066492
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,14,      48.735597
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,15,      48.417798
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,16,      47.805859
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,17,      46.606994
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,18,      48.468050
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,19,      48.170082
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,0,     158.916904
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,1,     160.872860
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,2,     159.817475
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,3,     159.146751
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,4,     160.628842
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,5,     158.570375
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,6,     158.770303
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,7,     159.963310
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,8,     153.217605
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,9,     153.273221
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,10,     151.849066
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,11,     154.373976
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,12,     157.037974
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,13,     151.798373
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,14,     157.528218
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,15,     153.376075
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,16,     151.598003
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,17,     157.810892
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,18,     157.042161
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,19,     153.853646
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,0,     205.526399
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,1,     208.017498
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,2,     206.956359
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,3,     207.847694
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,4,     203.385381
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,5,     202.943187
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,6,     200.095928
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,7,     201.905568
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,8,     198.495749
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,9,     197.496524
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,10,     197.782299
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,11,     199.118936
