dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,       1.995357
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,       1.783124
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,       1.938945
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,       1.810614
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,       1.679374
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,       1.856035
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,       1.873213
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,       1.624113
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,       1.827049
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,       1.837928
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,       1.752884
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,       1.770458
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,       1.921793
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,       1.772545
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       1.886931
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       1.826930
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       1.934329
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       1.905953
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       1.796448
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       1.760621
