dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,0,       1.136868
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,1,       0.797201
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,2,       0.836654
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,3,       0.831637
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,4,       0.825359
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,5,       0.809563
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,6,       0.776604
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,7,       0.808445
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       0.796946
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.809567
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.798078
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.795550
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.788702
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.806457
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.793382
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.824758
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.785270
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.810139
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.790629
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.793081
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,0,       6.435129
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,1,       6.487106
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,2,       6.403666
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,3,       6.462578
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,4,       6.350019
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,5,       6.481205
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,6,       6.360841
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,7,       6.533940
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,8,       6.548778
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,9,       6.370475
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,10,       6.632790
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,11,       6.742471
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,12,       6.632424
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,13,       6.509411
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,14,       6.576084
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,15,       6.657506
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,16,       6.609595
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,17,       6.660362
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,18,       6.530560
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,19,       6.533983
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,0,      29.688009
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,1,      30.264879
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,2,      29.828829
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,3,      30.328315
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,4,      29.815965
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,5,      30.487252
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,6,      30.652543
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,7,      29.794396
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,8,      30.204507
