dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ds | Ds",64,0,       0.004131
1,float,uniform,PoisFFT,"Ds | Ds",64,1,       0.001000
1,float,uniform,PoisFFT,"Ds | Ds",64,2,       0.000846
1,float,uniform,PoisFFT,"Ds | Ds",64,3,       0.000798
1,float,uniform,PoisFFT,"Ds | Ds",64,4,       0.016987
1,float,uniform,PoisFFT,"Ds | Ds",64,5,       0.000828
1,float,uniform,PoisFFT,"Ds | Ds",64,6,       0.000809
1,float,uniform,PoisFFT,"Ds | Ds",64,7,       0.000812
1,float,uniform,PoisFFT,"Ds | Ds",64,8,       0.000814
1,float,uniform,PoisFFT,"Ds | Ds",64,9,       0.000815
1,float,uniform,PoisFFT,"Ds | Ds",64,10,       0.000815
1,float,uniform,PoisFFT,"Ds | Ds",64,11,       0.000811
1,float,uniform,PoisFFT,"Ds | Ds",64,12,       0.000811
1,float,uniform,PoisFFT,"Ds | Ds",64,13,       0.000811
1,float,uniform,PoisFFT,"Ds | Ds",64,14,       0.000813
1,float,uniform,PoisFFT,"Ds | Ds",64,15,       0.000812
1,float,uniform,PoisFFT,"Ds | Ds",64,16,       0.000814
1,float,uniform,PoisFFT,"Ds | Ds",64,17,       0.000809
1,float,uniform,PoisFFT,"Ds | Ds",64,18,       0.000816
1,float,uniform,PoisFFT,"Ds | Ds",64,19,       0.000813
1,float,uniform,PoisFFT,"Ds | Ds",128,0,       0.001785
1,float,uniform,PoisFFT,"Ds | Ds",128,1,       0.001521
1,float,uniform,PoisFFT,"Ds | Ds",128,2,       0.001453
1,float,uniform,PoisFFT,"Ds | Ds",128,3,       0.001455
1,float,uniform,PoisFFT,"Ds | Ds",128,4,       0.001450
1,float,uniform,PoisFFT,"Ds | Ds",128,5,       0.001444
1,float,uniform,PoisFFT,"Ds | Ds",128,6,       0.001452
1,float,uniform,PoisFFT,"Ds | Ds",128,7,       0.001451
1,float,uniform,PoisFFT,"Ds | Ds",128,8,       0.001469
1,float,uniform,PoisFFT,"Ds | Ds",128,9,       0.001445
1,float,uniform,PoisFFT,"Ds | Ds",128,10,       0.001452
1,float,uniform,PoisFFT,"Ds | Ds",128,11,       0.001444
