dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,       1.266812
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,       0.920325
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,       0.927095
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,       0.925099
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,       0.916906
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,       0.937730
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,       0.930309
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,       0.803927
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,       0.810859
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,       0.934554
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,       0.806713
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,       0.804769
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,       0.917740
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,       0.802845
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,       0.804381
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,       0.920252
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,       0.805397
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,       0.804737
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,       0.924973
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,       0.805469
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,0,       9.297702
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,       8.778699
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,       8.820234
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,3,       9.149979
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,4,       8.858198
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,5,       8.957920
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,6,       9.219007
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,7,       8.847004
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,8,       8.887809
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,9,       9.226923
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,10,       8.840834
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,11,       8.901146
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,12,       9.100542
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,13,       8.795088
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,14,       8.975550
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,15,       9.135616
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,16,       9.006955
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,17,       8.776449
