dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,0,       0.058501
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,1,       0.055657
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,2,       0.055683
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,3,       0.058534
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,4,       0.055472
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,5,       0.055598
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,6,       0.064924
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,7,       0.054119
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,8,       0.053907
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,9,       0.054072
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,10,       0.054077
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,11,       0.053957
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,12,       0.053997
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,13,       0.054038
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,14,       0.053925
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,15,       0.054083
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,16,       0.053755
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,17,       0.054122
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,18,       0.056299
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,19,       0.053715
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,0,       0.284121
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,1,       0.267039
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,2,       0.266916
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,3,       0.266496
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,4,       0.267010
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,5,       0.269666
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,6,       0.267113
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,7,       0.267025
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,8,       0.270855
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,9,       0.267041
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,10,       0.266510
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,11,       0.269446
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,12,       0.266884
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,13,       0.267385
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,14,       0.266900
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,15,       0.269699
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,16,       0.266696
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,17,       0.266895
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,18,       0.269609
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,19,       0.266813
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,0,       0.975363
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,1,       0.972816
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,2,       0.971302
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,3,       0.972947
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,4,       0.973309
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,5,       0.972150
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,6,       0.972129
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,7,       0.973013
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,8,       0.972977
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,9,       0.972615
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,10,       0.972008
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,11,       0.971683
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,12,       0.972830
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,13,       0.972212
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,14,       0.969726
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,15,       0.973010
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,16,       0.972611
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,17,       0.973287
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,18,       0.972777
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,19,       0.973265
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,0,       1.683058
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,1,       1.577398
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,2,       1.562398
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,3,       1.566531
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,4,       1.643280
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,5,       1.574235
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,6,       1.572931
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,7,       1.735074
