dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,       1.720396
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,       1.204358
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,       1.198351
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,       1.247007
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,       1.212934
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,       1.336101
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,       1.256931
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,       1.267254
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,       1.226588
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,       1.209458
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       1.226693
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       1.289021
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       1.202920
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       1.231325
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       1.236309
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       1.276407
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       1.266486
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       1.274624
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       1.214900
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       1.213930
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       7.131012
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       7.231815
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       7.002260
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       7.086111
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       7.175686
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       7.235919
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,6,       7.124536
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,7,       7.126427
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,8,       7.042086
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,9,       7.285471
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,10,       7.210571
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,11,       7.033208
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,12,       7.133536
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,13,       7.157848
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,14,       7.078354
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,15,       7.196321
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,16,       7.226052
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,17,       7.259203
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,18,       7.379672
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,19,       7.623596
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,0,      36.471356
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,1,      35.485361
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,2,      36.604598
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,3,      35.270508
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,4,      36.341590
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,5,      35.461303
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,6,      36.067464
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,7,      36.498153
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,8,      35.238033
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,9,      35.289530
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,10,      35.507520
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,11,      35.532826
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,12,      35.633966
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,13,      35.453292
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,14,      36.919631
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,15,      35.814123
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,16,      35.341751
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,17,      36.042749
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,18,      35.894005
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,19,      36.410098
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,0,      89.649810
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,1,      90.084579
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,2,      89.653116
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,3,      89.812083
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,4,      89.585131
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,5,      89.900320
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,6,      89.930038
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,7,      91.079264
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,8,      89.603310
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,9,      90.393303
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,10,      89.527917
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,11,      89.442409
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,12,      89.914444
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,13,      89.516861
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,14,      90.091265
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,15,      89.678746
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,16,      90.121788
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,17,      90.041611
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,18,      90.503567
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,19,      90.371104
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,0,     204.950411
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,1,     205.582931
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,2,     204.343889
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,3,     204.663459
