dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,       1.433596
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,       0.824437
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,       0.854426
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,       0.901126
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,       0.941588
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,       0.936247
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,       0.935310
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,       0.816056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,       0.814586
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,       0.930572
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,       0.816207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,       0.818203
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,       0.937634
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,       0.822749
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,       0.897580
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,       0.945328
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,       0.812396
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,       0.814790
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,       0.930164
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,       0.814699
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,0,      10.028147
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,1,       9.860447
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,2,       9.846132
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,3,       9.878834
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,4,       9.842714
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,5,       9.910567
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,6,       9.875361
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,7,      10.153555
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,8,       9.836481
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,9,      10.045991
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,10,       9.905963
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,11,       9.973339
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,12,       9.846432
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,13,       9.902815
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,14,       9.816573
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,15,       9.838870
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,16,       9.876854
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,17,       9.864633
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,18,       9.973633
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,19,       9.857183
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,      44.190154
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,      43.946044
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,      42.799771
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,      43.725603
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,      42.849676
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,      42.886596
