dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,0,       1.430945
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,1,       0.931059
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,2,       1.006258
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,3,       0.923764
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,4,       0.988931
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,5,       0.999577
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,6,       0.969798
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,7,       0.948184
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,8,       1.006367
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,9,       0.955023
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,10,       0.964246
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,11,       0.983104
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,12,       0.948256
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,13,       0.954365
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,14,       0.951316
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,15,       0.950616
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,16,       0.950628
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,17,       0.946460
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,18,       0.944672
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,19,       0.924857
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,0,       7.917561
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,1,       7.746676
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,2,       7.669547
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,3,       7.662798
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,4,       7.521626
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,5,       7.638746
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,6,       7.838987
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,7,       7.573468
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,8,       7.760695
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,9,       8.116556
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,10,       7.773532
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,11,       7.721734
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,12,       7.566275
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,13,       7.799388
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,14,       7.611569
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,15,       7.705575
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,16,       7.610979
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,17,       7.686365
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,18,       7.871537
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,19,       7.875522
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,0,      37.771634
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,1,      37.521376
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,2,      37.270535
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,3,      37.335954
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,4,      37.292133
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,5,      37.839866
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,6,      38.390215
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,7,      37.815316
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,8,      37.167060
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,9,      37.246787
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,10,      38.135448
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,11,      38.370471
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,12,      37.580975
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,13,      37.909325
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,14,      37.103895
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,15,      37.625730
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,16,      38.514835
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,17,      38.379691
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,18,      37.060851
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,19,      37.914176
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,0,     110.052518
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,1,     110.254611
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,2,     108.194458
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,3,     110.634498
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,4,     109.849908
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,5,     112.327471
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,6,     110.440729
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,7,     109.635225
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,8,     109.678467
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,9,     109.574416
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,10,     108.560378
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,11,     105.063509
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,12,     107.017058
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,13,     109.393662
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,14,     105.829789
