dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,0,       1.900514
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,1,       1.696209
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,2,       1.595885
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,3,       1.674288
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,4,       1.542347
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,5,       1.669712
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,6,       1.612033
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,7,       1.749560
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,8,       1.853018
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,9,       1.919802
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,10,       2.022416
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,11,       1.973281
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,12,       1.783064
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,13,       1.658809
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,14,       1.783905
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,15,       1.710902
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,16,       1.700020
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,17,       1.676655
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,18,       1.807910
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,19,       1.986535
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,0,      15.793523
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,1,      14.738070
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,2,      15.317810
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,3,      15.133781
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,4,      14.728118
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,5,      15.424992
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,6,      15.635898
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,7,      15.139287
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,8,      15.551333
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,9,      15.372277
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,10,      14.824728
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,11,      15.248512
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,12,      15.050754
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,13,      15.049448
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,14,      14.961905
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,15,      15.114465
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,16,      14.767316
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,17,      15.203143
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,18,      15.131252
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,19,      15.831249
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,0,      64.975189
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,1,      65.292872
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,2,      64.912557
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,3,      65.245748
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,4,      64.442393
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,5,      64.641234
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,6,      65.070520
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,7,      64.502410
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,8,      65.201013
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,9,      64.370261
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,10,      65.020679
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,11,      65.136018
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,12,      65.679606
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,13,      64.815583
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,14,      64.887417
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,15,      64.626909
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,16,      64.852133
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,17,      64.907889
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,18,      64.684013
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,19,      65.173798
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,0,     163.916472
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,1,     170.713803
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,2,     170.067857
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,3,     164.639123
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,4,     163.530069
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,5,     167.244639
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,6,     168.674689
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,7,     167.613641
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,8,     166.514982
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,9,     167.730293
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,10,     169.074699
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,11,     168.127458
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,12,     167.653337
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,13,     165.428376
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,14,     169.121398
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,15,     165.094371
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,16,     166.314892
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,17,     167.299018
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,18,     169.549611
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,19,     166.543077
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,0,     338.356370
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,1,     331.839782
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,2,     337.742021
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,3,     331.801658
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,4,     335.464348
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,5,     332.333734
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,6,     331.896286
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,7,     332.470883
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,8,     333.028339
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,9,     332.085826
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,10,     333.931383
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,11,     330.852860
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,12,     332.781366
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,13,     331.814120
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,14,     332.312657
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,15,     332.203707
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,16,     332.122236
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,17,     331.128814
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,18,     333.374717
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,19,     330.840769
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,0,     594.879575
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,1,     595.188527
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,2,     594.531822
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,3,     594.525937
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,4,     594.219369
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,5,     595.095731
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,6,     597.982009
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,7,     595.138078
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,8,     595.119088
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,9,     596.835290
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,10,     593.383720
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,11,     596.344179
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,12,     594.695561
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,13,     597.576428
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,14,     601.682156
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,15,     593.799352
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,16,     596.310677
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,17,     595.359781
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,18,     600.088679
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",384,19,     594.261603
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",448,0,    1008.198956
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",448,1,    1005.681877
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",448,2,    1005.694042
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",448,3,    1010.965308
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",448,4,    1016.342538
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",448,5,    1011.848975
