dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,       8.150476
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,       8.060336
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,       8.394744
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,       8.222358
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,       8.208081
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,       8.388951
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,       8.363091
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,       8.160145
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,       8.448753
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,       8.726809
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,       8.374077
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,       8.475800
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,       8.159410
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,       8.557120
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,       8.324748
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,       8.287258
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,       8.495914
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,       8.319005
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,      35.506815
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,      34.794324
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,2,      34.598214
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,3,      34.858706
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,4,      34.724487
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,5,      34.938914
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,6,      35.335628
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,7,      34.515988
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,8,      34.777724
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,9,      34.790710
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,10,      34.441349
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,11,      34.834821
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,12,      34.731868
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,13,      34.638626
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,14,      34.870993
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,15,      34.610763
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,16,      34.693911
