dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"D | D",64,0,       0.005728
1,float,uniform,PoisFFT,"D | D",64,1,       0.001929
1,float,uniform,PoisFFT,"D | D",64,2,       0.001700
1,float,uniform,PoisFFT,"D | D",64,3,       0.001655
1,float,uniform,PoisFFT,"D | D",64,4,       0.001648
1,float,uniform,PoisFFT,"D | D",64,5,       0.001657
1,float,uniform,PoisFFT,"D | D",64,6,       0.001647
1,float,uniform,PoisFFT,"D | D",64,7,       0.001657
1,float,uniform,PoisFFT,"D | D",64,8,       0.001662
1,float,uniform,PoisFFT,"D | D",64,9,       0.001659
1,float,uniform,PoisFFT,"D | D",64,10,       0.001654
1,float,uniform,PoisFFT,"D | D",64,11,       0.001657
1,float,uniform,PoisFFT,"D | D",64,12,       0.001652
1,float,uniform,PoisFFT,"D | D",64,13,       0.001658
1,float,uniform,PoisFFT,"D | D",64,14,       0.001659
1,float,uniform,PoisFFT,"D | D",64,15,       0.001660
1,float,uniform,PoisFFT,"D | D",64,16,       0.001665
1,float,uniform,PoisFFT,"D | D",64,17,       0.001659
1,float,uniform,PoisFFT,"D | D",64,18,       0.001663
1,float,uniform,PoisFFT,"D | D",64,19,       0.001665
1,float,uniform,PoisFFT,"D | D",128,0,       0.009042
1,float,uniform,PoisFFT,"D | D",128,1,       0.008869
1,float,uniform,PoisFFT,"D | D",128,2,       0.008806
1,float,uniform,PoisFFT,"D | D",128,3,       0.008847
1,float,uniform,PoisFFT,"D | D",128,4,       0.025504
1,float,uniform,PoisFFT,"D | D",128,5,       0.009171
1,float,uniform,PoisFFT,"D | D",128,6,       0.009136
1,float,uniform,PoisFFT,"D | D",128,7,       0.009105
1,float,uniform,PoisFFT,"D | D",128,8,       0.009101
1,float,uniform,PoisFFT,"D | D",128,9,       0.009116
1,float,uniform,PoisFFT,"D | D",128,10,       0.009117
1,float,uniform,PoisFFT,"D | D",128,11,       0.009144
1,float,uniform,PoisFFT,"D | D",128,12,       0.009143
1,float,uniform,PoisFFT,"D | D",128,13,       0.009114
1,float,uniform,PoisFFT,"D | D",128,14,       0.009121
1,float,uniform,PoisFFT,"D | D",128,15,       0.009128
1,float,uniform,PoisFFT,"D | D",128,16,       0.009089
1,float,uniform,PoisFFT,"D | D",128,17,       0.009139
1,float,uniform,PoisFFT,"D | D",128,18,       0.009137
1,float,uniform,PoisFFT,"D | D",128,19,       0.012722
1,float,uniform,PoisFFT,"D | D",192,0,       0.034898
1,float,uniform,PoisFFT,"D | D",192,1,       0.032731
1,float,uniform,PoisFFT,"D | D",192,2,       0.049653
1,float,uniform,PoisFFT,"D | D",192,3,       0.034921
1,float,uniform,PoisFFT,"D | D",192,4,       0.034917
1,float,uniform,PoisFFT,"D | D",192,5,       0.034889
1,float,uniform,PoisFFT,"D | D",192,6,       0.034924
1,float,uniform,PoisFFT,"D | D",192,7,       0.034927
1,float,uniform,PoisFFT,"D | D",192,8,       0.034873
1,float,uniform,PoisFFT,"D | D",192,9,       0.034853
1,float,uniform,PoisFFT,"D | D",192,10,       0.034887
1,float,uniform,PoisFFT,"D | D",192,11,       0.034867
1,float,uniform,PoisFFT,"D | D",192,12,       0.034880
1,float,uniform,PoisFFT,"D | D",192,13,       0.034871
1,float,uniform,PoisFFT,"D | D",192,14,       0.034895
1,float,uniform,PoisFFT,"D | D",192,15,       0.034900
1,float,uniform,PoisFFT,"D | D",192,16,       0.034852
1,float,uniform,PoisFFT,"D | D",192,17,       0.034899
1,float,uniform,PoisFFT,"D | D",192,18,       0.034905
1,float,uniform,PoisFFT,"D | D",192,19,       0.034885
1,float,uniform,PoisFFT,"D | D",256,0,       0.045817
1,float,uniform,PoisFFT,"D | D",256,1,       0.043724
1,float,uniform,PoisFFT,"D | D",256,2,       0.046793
1,float,uniform,PoisFFT,"D | D",256,3,       0.046743
1,float,uniform,PoisFFT,"D | D",256,4,       0.046764
1,float,uniform,PoisFFT,"D | D",256,5,       0.046802
1,float,uniform,PoisFFT,"D | D",256,6,       0.046714
1,float,uniform,PoisFFT,"D | D",256,7,       0.046731
1,float,uniform,PoisFFT,"D | D",256,8,       0.046689
1,float,uniform,PoisFFT,"D | D",256,9,       0.035196
1,float,uniform,PoisFFT,"D | D",256,10,       0.034048
1,float,uniform,PoisFFT,"D | D",256,11,       0.034021
1,float,uniform,PoisFFT,"D | D",256,12,       0.034004
1,float,uniform,PoisFFT,"D | D",256,13,       0.033987
1,float,uniform,PoisFFT,"D | D",256,14,       0.033993
1,float,uniform,PoisFFT,"D | D",256,15,       0.034029
1,float,uniform,PoisFFT,"D | D",256,16,       0.043825
1,float,uniform,PoisFFT,"D | D",256,17,       0.040811
1,float,uniform,PoisFFT,"D | D",256,18,       0.040699
1,float,uniform,PoisFFT,"D | D",256,19,       0.040749
1,float,uniform,PoisFFT,"D | D",320,0,       0.034689
1,float,uniform,PoisFFT,"D | D",320,1,       0.034438
1,float,uniform,PoisFFT,"D | D",320,2,       0.051265
1,float,uniform,PoisFFT,"D | D",320,3,       0.036186
1,float,uniform,PoisFFT,"D | D",320,4,       0.036217
1,float,uniform,PoisFFT,"D | D",320,5,       0.036193
1,float,uniform,PoisFFT,"D | D",320,6,       0.036197
1,float,uniform,PoisFFT,"D | D",320,7,       0.036232
1,float,uniform,PoisFFT,"D | D",320,8,       0.036196
1,float,uniform,PoisFFT,"D | D",320,9,       0.036205
1,float,uniform,PoisFFT,"D | D",320,10,       0.036193
1,float,uniform,PoisFFT,"D | D",320,11,       0.056541
1,float,uniform,PoisFFT,"D | D",320,12,       0.049609
1,float,uniform,PoisFFT,"D | D",320,13,       0.049638
1,float,uniform,PoisFFT,"D | D",320,14,       0.049622
1,float,uniform,PoisFFT,"D | D",320,15,       0.049638
1,float,uniform,PoisFFT,"D | D",320,16,       0.053009
1,float,uniform,PoisFFT,"D | D",320,17,       0.049723
1,float,uniform,PoisFFT,"D | D",320,18,       0.049635
1,float,uniform,PoisFFT,"D | D",320,19,       0.049600
1,float,uniform,PoisFFT,"D | D",384,0,       0.013747
1,float,uniform,PoisFFT,"D | D",384,1,       0.013257
1,float,uniform,PoisFFT,"D | D",384,2,       0.013126
1,float,uniform,PoisFFT,"D | D",384,3,       0.013121
1,float,uniform,PoisFFT,"D | D",384,4,       0.013075
1,float,uniform,PoisFFT,"D | D",384,5,       0.029964
1,float,uniform,PoisFFT,"D | D",384,6,       0.014128
1,float,uniform,PoisFFT,"D | D",384,7,       0.014093
1,float,uniform,PoisFFT,"D | D",384,8,       0.014125
1,float,uniform,PoisFFT,"D | D",384,9,       0.014096
