dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"P | P | P | P",64,0,       0.056331
2,double,uniform,PoisFFT,"P | P | P | P",64,1,       0.049833
2,double,uniform,PoisFFT,"P | P | P | P",64,2,       0.049874
2,double,uniform,PoisFFT,"P | P | P | P",64,3,       0.049853
2,double,uniform,PoisFFT,"P | P | P | P",64,4,       0.049622
2,double,uniform,PoisFFT,"P | P | P | P",64,5,       0.049710
2,double,uniform,PoisFFT,"P | P | P | P",64,6,       0.049396
2,double,uniform,PoisFFT,"P | P | P | P",64,7,       0.049590
2,double,uniform,PoisFFT,"P | P | P | P",64,8,       0.049398
2,double,uniform,PoisFFT,"P | P | P | P",64,9,       0.049365
2,double,uniform,PoisFFT,"P | P | P | P",64,10,       0.049729
2,double,uniform,PoisFFT,"P | P | P | P",64,11,       0.049425
2,double,uniform,PoisFFT,"P | P | P | P",64,12,       0.049554
2,double,uniform,PoisFFT,"P | P | P | P",64,13,       0.049427
2,double,uniform,PoisFFT,"P | P | P | P",64,14,       0.049487
2,double,uniform,PoisFFT,"P | P | P | P",64,15,       0.049405
2,double,uniform,PoisFFT,"P | P | P | P",64,16,       0.059654
2,double,uniform,PoisFFT,"P | P | P | P",64,17,       0.047636
2,double,uniform,PoisFFT,"P | P | P | P",64,18,       0.047799
2,double,uniform,PoisFFT,"P | P | P | P",64,19,       0.047600
2,double,uniform,PoisFFT,"P | P | P | P",128,0,       0.223605
2,double,uniform,PoisFFT,"P | P | P | P",128,1,       0.284552
2,double,uniform,PoisFFT,"P | P | P | P",128,2,       0.219241
2,double,uniform,PoisFFT,"P | P | P | P",128,3,       0.219071
2,double,uniform,PoisFFT,"P | P | P | P",128,4,       0.222333
2,double,uniform,PoisFFT,"P | P | P | P",128,5,       0.218972
2,double,uniform,PoisFFT,"P | P | P | P",128,6,       0.218811
2,double,uniform,PoisFFT,"P | P | P | P",128,7,       0.222181
2,double,uniform,PoisFFT,"P | P | P | P",128,8,       0.219115
2,double,uniform,PoisFFT,"P | P | P | P",128,9,       0.219005
2,double,uniform,PoisFFT,"P | P | P | P",128,10,       0.222248
2,double,uniform,PoisFFT,"P | P | P | P",128,11,       0.219373
2,double,uniform,PoisFFT,"P | P | P | P",128,12,       0.218334
2,double,uniform,PoisFFT,"P | P | P | P",128,13,       0.218815
2,double,uniform,PoisFFT,"P | P | P | P",128,14,       0.219377
2,double,uniform,PoisFFT,"P | P | P | P",128,15,       0.218989
2,double,uniform,PoisFFT,"P | P | P | P",128,16,       0.219042
2,double,uniform,PoisFFT,"P | P | P | P",128,17,       0.218791
2,double,uniform,PoisFFT,"P | P | P | P",128,18,       0.219003
2,double,uniform,PoisFFT,"P | P | P | P",128,19,       0.219202
2,double,uniform,PoisFFT,"P | P | P | P",192,0,       0.559002
2,double,uniform,PoisFFT,"P | P | P | P",192,1,       0.557739
2,double,uniform,PoisFFT,"P | P | P | P",192,2,       0.562400
2,double,uniform,PoisFFT,"P | P | P | P",192,3,       0.561838
2,double,uniform,PoisFFT,"P | P | P | P",192,4,       0.561302
2,double,uniform,PoisFFT,"P | P | P | P",192,5,       0.557379
2,double,uniform,PoisFFT,"P | P | P | P",192,6,       0.557615
2,double,uniform,PoisFFT,"P | P | P | P",192,7,       0.562282
2,double,uniform,PoisFFT,"P | P | P | P",192,8,       0.562478
2,double,uniform,PoisFFT,"P | P | P | P",192,9,       0.561008
2,double,uniform,PoisFFT,"P | P | P | P",192,10,       0.557528
2,double,uniform,PoisFFT,"P | P | P | P",192,11,       0.556690
2,double,uniform,PoisFFT,"P | P | P | P",192,12,       0.561344
2,double,uniform,PoisFFT,"P | P | P | P",192,13,       0.561742
2,double,uniform,PoisFFT,"P | P | P | P",192,14,       0.561827
2,double,uniform,PoisFFT,"P | P | P | P",192,15,       0.557551
2,double,uniform,PoisFFT,"P | P | P | P",192,16,       0.558017
2,double,uniform,PoisFFT,"P | P | P | P",192,17,       0.561424
2,double,uniform,PoisFFT,"P | P | P | P",192,18,       0.561523
2,double,uniform,PoisFFT,"P | P | P | P",192,19,       0.561384
2,double,uniform,PoisFFT,"P | P | P | P",256,0,       1.199567
2,double,uniform,PoisFFT,"P | P | P | P",256,1,       1.195799
2,double,uniform,PoisFFT,"P | P | P | P",256,2,       1.191853
2,double,uniform,PoisFFT,"P | P | P | P",256,3,       1.191907
2,double,uniform,PoisFFT,"P | P | P | P",256,4,       1.192619
2,double,uniform,PoisFFT,"P | P | P | P",256,5,       1.192705
2,double,uniform,PoisFFT,"P | P | P | P",256,6,       1.193193
2,double,uniform,PoisFFT,"P | P | P | P",256,7,       1.260976
2,double,uniform,PoisFFT,"P | P | P | P",256,8,       1.201588
2,double,uniform,PoisFFT,"P | P | P | P",256,9,       1.197375
2,double,uniform,PoisFFT,"P | P | P | P",256,10,       1.195254
2,double,uniform,PoisFFT,"P | P | P | P",256,11,       1.200241
2,double,uniform,PoisFFT,"P | P | P | P",256,12,       1.194006
2,double,uniform,PoisFFT,"P | P | P | P",256,13,       1.193032
