dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"P | P | P | P",64,0,       0.036391
2,float,uniform,PoisFFT,"P | P | P | P",64,1,       0.031862
2,float,uniform,PoisFFT,"P | P | P | P",64,2,       0.031518
2,float,uniform,PoisFFT,"P | P | P | P",64,3,       0.031559
2,float,uniform,PoisFFT,"P | P | P | P",64,4,       0.031513
2,float,uniform,PoisFFT,"P | P | P | P",64,5,       0.031462
2,float,uniform,PoisFFT,"P | P | P | P",64,6,       0.031599
2,float,uniform,PoisFFT,"P | P | P | P",64,7,       0.031550
2,float,uniform,PoisFFT,"P | P | P | P",64,8,       0.031583
2,float,uniform,PoisFFT,"P | P | P | P",64,9,       0.031523
2,float,uniform,PoisFFT,"P | P | P | P",64,10,       0.031581
2,float,uniform,PoisFFT,"P | P | P | P",64,11,       0.035191
2,float,uniform,PoisFFT,"P | P | P | P",64,12,       0.031596
2,float,uniform,PoisFFT,"P | P | P | P",64,13,       0.031534
2,float,uniform,PoisFFT,"P | P | P | P",64,14,       0.031527
2,float,uniform,PoisFFT,"P | P | P | P",64,15,       0.031586
2,float,uniform,PoisFFT,"P | P | P | P",64,16,       0.031585
2,float,uniform,PoisFFT,"P | P | P | P",64,17,       0.031461
2,float,uniform,PoisFFT,"P | P | P | P",64,18,       0.031550
2,float,uniform,PoisFFT,"P | P | P | P",64,19,       0.031634
2,float,uniform,PoisFFT,"P | P | P | P",128,0,       0.172114
2,float,uniform,PoisFFT,"P | P | P | P",128,1,       0.151341
2,float,uniform,PoisFFT,"P | P | P | P",128,2,       0.151087
2,float,uniform,PoisFFT,"P | P | P | P",128,3,       0.151185
2,float,uniform,PoisFFT,"P | P | P | P",128,4,       0.151036
2,float,uniform,PoisFFT,"P | P | P | P",128,5,       0.154189
2,float,uniform,PoisFFT,"P | P | P | P",128,6,       0.150878
2,float,uniform,PoisFFT,"P | P | P | P",128,7,       0.151287
2,float,uniform,PoisFFT,"P | P | P | P",128,8,       0.151065
2,float,uniform,PoisFFT,"P | P | P | P",128,9,       0.151276
2,float,uniform,PoisFFT,"P | P | P | P",128,10,       0.154234
2,float,uniform,PoisFFT,"P | P | P | P",128,11,       0.150929
2,float,uniform,PoisFFT,"P | P | P | P",128,12,       0.150893
2,float,uniform,PoisFFT,"P | P | P | P",128,13,       0.151540
2,float,uniform,PoisFFT,"P | P | P | P",128,14,       0.151257
2,float,uniform,PoisFFT,"P | P | P | P",128,15,       0.153978
2,float,uniform,PoisFFT,"P | P | P | P",128,16,       0.151186
2,float,uniform,PoisFFT,"P | P | P | P",128,17,       0.151309
2,float,uniform,PoisFFT,"P | P | P | P",128,18,       0.151372
2,float,uniform,PoisFFT,"P | P | P | P",128,19,       0.151007
2,float,uniform,PoisFFT,"P | P | P | P",192,0,       0.389644
2,float,uniform,PoisFFT,"P | P | P | P",192,1,       0.391866
2,float,uniform,PoisFFT,"P | P | P | P",192,2,       0.384483
2,float,uniform,PoisFFT,"P | P | P | P",192,3,       0.388231
2,float,uniform,PoisFFT,"P | P | P | P",192,4,       0.384079
2,float,uniform,PoisFFT,"P | P | P | P",192,5,       0.388183
2,float,uniform,PoisFFT,"P | P | P | P",192,6,       0.384412
