dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"D | D | D | D",320,1,      19.666008
2,double,uniform,PoisFFT,"D | D | D | D",320,2,      22.524721
2,double,uniform,PoisFFT,"D | D | D | D",320,3,      24.314336
2,double,uniform,PoisFFT,"D | D | D | D",320,4,      23.131594
2,double,uniform,PoisFFT,"D | D | D | D",320,5,      25.093691
2,double,uniform,PoisFFT,"D | D | D | D",320,6,      23.210629
2,double,uniform,PoisFFT,"D | D | D | D",320,7,      18.888557
2,double,uniform,PoisFFT,"D | D | D | D",320,8,      18.690971
2,double,uniform,PoisFFT,"D | D | D | D",320,9,      18.691183
2,double,uniform,PoisFFT,"D | D | D | D",320,10,      18.693899
2,double,uniform,PoisFFT,"D | D | D | D",320,11,      19.768852
2,double,uniform,PoisFFT,"D | D | D | D",320,12,      18.880172
2,double,uniform,PoisFFT,"D | D | D | D",320,13,      20.341492
2,double,uniform,PoisFFT,"D | D | D | D",320,14,      23.098265
2,double,uniform,PoisFFT,"D | D | D | D",320,15,      22.374608
2,double,uniform,PoisFFT,"D | D | D | D",320,16,      24.148825
2,double,uniform,PoisFFT,"D | D | D | D",320,17,      19.084504
2,double,uniform,PoisFFT,"D | D | D | D",320,18,      19.295846
2,double,uniform,PoisFFT,"D | D | D | D",320,19,      21.942348
2,double,uniform,PoisFFT,"D | D | D | D",384,0,      10.081835
2,double,uniform,PoisFFT,"D | D | D | D",384,1,      10.118893
2,double,uniform,PoisFFT,"D | D | D | D",384,2,      10.114270
2,double,uniform,PoisFFT,"D | D | D | D",384,3,      10.114606
2,double,uniform,PoisFFT,"D | D | D | D",384,4,      10.120404
2,double,uniform,PoisFFT,"D | D | D | D",384,5,      10.111589
2,double,uniform,PoisFFT,"D | D | D | D",384,6,      10.114961
2,double,uniform,PoisFFT,"D | D | D | D",384,7,      10.114614
2,double,uniform,PoisFFT,"D | D | D | D",384,8,      10.121291
2,double,uniform,PoisFFT,"D | D | D | D",384,9,      10.114075
2,double,uniform,PoisFFT,"D | D | D | D",384,10,      10.116578
2,double,uniform,PoisFFT,"D | D | D | D",384,11,      10.127005
2,double,uniform,PoisFFT,"D | D | D | D",384,12,      10.118024
2,double,uniform,PoisFFT,"D | D | D | D",384,13,      10.115220
2,double,uniform,PoisFFT,"D | D | D | D",384,14,      10.113303
2,double,uniform,PoisFFT,"D | D | D | D",384,15,      10.120310
2,double,uniform,PoisFFT,"D | D | D | D",384,16,      10.133294
2,double,uniform,PoisFFT,"D | D | D | D",384,17,      10.120523
2,double,uniform,PoisFFT,"D | D | D | D",384,18,      10.125844
2,double,uniform,PoisFFT,"D | D | D | D",384,19,      10.129783
2,double,uniform,PoisFFT,"D | D | D | D",448,0,      72.016884
2,double,uniform,PoisFFT,"D | D | D | D",448,1,      71.656918
2,double,uniform,PoisFFT,"D | D | D | D",448,2,      72.006600
2,double,uniform,PoisFFT,"D | D | D | D",448,3,      71.887570
