dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,0,       3.320387
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,1,       3.002100
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,2,       2.956862
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,3,       2.918486
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,4,       3.020434
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,5,       2.957332
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,6,       2.925243
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,7,       2.880681
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,8,       2.950994
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,9,       2.939751
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,10,       2.941286
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,11,       3.034066
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,12,       2.867535
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,13,       2.952808
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,14,       2.929724
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,15,       3.010422
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,16,       2.958639
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,17,       2.933213
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,18,       2.948104
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,19,       2.987440
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,0,      75.630582
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,1,      75.599786
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,2,      76.765916
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,3,      75.967377
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,4,      76.407347
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,5,      76.562880
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,6,      76.855743
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,7,      76.740419
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,8,      76.681859
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,9,      76.477132
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,10,      76.284139
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,11,      76.821344
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,12,      76.215492
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,13,      76.566597
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,14,      76.567397
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,15,      76.485164
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,16,      76.464555
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,17,      76.553552
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,18,      77.022434
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,19,      75.524433
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,0,     325.512715
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,1,     329.263858
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,2,     323.999687
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,3,     325.057795
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,4,     327.791757
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,5,     323.908360
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,6,     324.338834
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,7,     331.352894
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,8,     324.778237
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,9,     325.336103
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,10,     328.020093
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,11,     328.461538
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,12,     324.794736
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,13,     325.909503
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,14,     324.543220
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,15,     323.271384
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,16,     325.886378
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,17,     327.083329
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,18,     325.245248
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,19,     327.569169
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,0,     269.280978
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,1,     271.720105
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,2,     270.654005
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,3,     270.033083
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,4,     271.060137
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,5,     270.571218
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,6,     271.138423
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,7,     271.197837
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,8,     271.444667
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,9,     271.266760
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,10,     273.516488
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,11,     270.891894
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,12,     271.861719
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,13,     270.821074
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,14,     272.276178
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,15,     271.477207
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,16,     270.778016
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,17,     272.272934
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,18,     272.386607
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,19,     271.805019
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,0,     689.812748
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,1,     690.732298
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,2,     690.376157
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,3,     689.106604
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,4,     691.183853
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,5,     692.160442
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,6,     690.477757
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,7,     695.355430
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,8,     703.577334
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,9,     702.402034
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,10,     693.434882
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,11,     692.157701
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,12,     695.473342
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,13,     692.836997
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,14,     690.028461
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,15,     693.082614
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,16,     688.948070
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,17,     689.927697
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,18,     689.921094
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,19,     686.270425
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,0,    2759.426098
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,1,    2755.702028
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,2,    2772.997943
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,3,    2789.034887
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,4,    2755.033971
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,5,    2782.325850
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,6,    2761.538208
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,7,    2758.047025
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,8,    2761.008516
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,9,    2756.838691
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,10,    2769.915380
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,11,    2754.633172
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,12,    2775.854554
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,13,    2773.618709
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,14,    2769.170456
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,15,    2747.662185
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,16,    2769.576533
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,17,    2776.566013
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,18,    2768.817993
3,float,uniform,PoisFFT,"N | D | N | N | N | N",384,19,    2755.133720
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,0,    4171.362750
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,1,    4191.652600
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,2,    4214.225497
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,3,    4167.488955
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,4,    4185.052676
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,5,    4159.341471
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,6,    4202.538694
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,7,    4168.184184
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,8,    4170.381784
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,9,    4167.725701
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,10,    4203.786159
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,11,    4205.170156
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,12,    4197.202254
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,13,    4202.442901
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,14,    4197.982680
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,15,    4218.238637
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,16,    4191.738177
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,17,    4166.557890
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,18,    4213.209276
3,float,uniform,PoisFFT,"N | D | N | N | N | N",448,19,    4164.018981
3,float,uniform,PoisFFT,"N | D | N | N | N | N",512,0,    4011.303138
3,float,uniform,PoisFFT,"N | D | N | N | N | N",512,1,    3979.530009
3,float,uniform,PoisFFT,"N | D | N | N | N | N",512,2,    3959.099182
3,float,uniform,PoisFFT,"N | D | N | N | N | N",512,3,    3972.391234
3,float,uniform,PoisFFT,"N | D | N | N | N | N",512,4,    4005.387341
3,float,uniform,PoisFFT,"N | D | N | N | N | N",512,5,    4011.596851
