dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,       0.891385
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,       0.803728
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,       0.921102
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,       0.862147
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,       0.921794
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,       0.848297
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,       0.881206
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,       0.803543
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,       0.855326
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,       0.878757
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,       0.806957
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,       0.853872
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,       0.887634
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,       0.802147
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,       0.924351
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,       0.891867
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,       0.803931
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,       0.835620
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,       0.893955
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,       0.808849
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,      10.667134
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,       9.958585
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,      10.297066
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,      10.030258
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,       9.901790
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,       9.774159
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,      10.039360
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,       9.844815
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,      10.085240
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,       9.894939
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,      10.118682
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,      10.001331
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,      10.005671
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,       9.987829
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,       9.659626
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,       9.833560
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,       9.995250
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,      10.035515
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,       9.896647
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,       9.923712
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,      40.004737
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,      39.725624
