dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,       1.253466
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,       0.818193
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,       0.837839
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,       0.839482
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,       0.839631
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,       0.823197
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,       0.797693
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,       0.824320
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       0.819237
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.836994
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.813806
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.832462
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.825567
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.838308
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.830354
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.835720
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.807118
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.865003
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.832960
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.851512
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,0,       6.368120
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,1,       6.402005
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,2,       6.285371
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,3,       6.279057
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,4,       6.311345
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,5,       6.736742
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,6,       6.170736
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,7,       6.304205
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,8,       6.277397
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,9,       6.333175
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,10,       6.414168
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,11,       6.308322
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,12,       6.296523
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,13,       6.295937
