dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,0,       2.584284
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,1,       2.018048
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,2,       2.017098
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,3,       2.030880
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,4,       2.038406
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,5,       2.031898
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,6,       2.019521
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,7,       2.045384
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,8,       2.035164
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,9,       2.177819
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,10,       2.020851
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,11,       2.051866
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,12,       2.047041
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,13,       2.028192
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,14,       2.034199
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,15,       2.036718
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,16,       2.057173
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,17,       2.014146
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,18,       2.015298
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,19,       2.040725
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,0,      34.480314
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,1,      34.282541
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,2,      34.260670
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,3,      34.261106
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,4,      34.052825
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,5,      34.114441
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,6,      34.546143
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,7,      34.288225
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,8,      34.616385
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,9,      34.337610
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,10,      34.420398
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,11,      34.342116
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,12,      34.363464
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,13,      34.184190
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,14,      34.116417
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,15,      34.223506
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,16,      34.203431
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,17,      34.345281
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,18,      34.686225
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,19,      34.870411
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,0,     236.886844
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,1,     236.823547
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,2,     237.618472
