dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,0,       2.296953
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,1,       2.009102
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,2,       1.852459
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,3,       1.798609
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,4,       1.864597
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,5,       1.872638
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,6,       1.885147
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,7,       1.928869
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,8,       1.768752
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,9,       1.824927
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,10,       1.844821
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,11,       1.821631
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,12,       1.925078
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,13,       1.863005
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,14,       1.813234
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,15,       1.857941
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,16,       1.776611
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,17,       1.890817
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,18,       1.832988
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,19,       1.813417
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,0,      11.004409
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,1,      11.348262
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,2,      11.258652
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,3,      11.727065
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,4,      10.902198
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,5,      11.204561
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,6,      11.093981
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,7,      11.212788
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,8,      10.575355
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,9,      11.060633
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,10,      10.806900
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,11,      10.865509
