dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,0,       0.072588
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,1,       0.057589
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,2,       0.057426
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,3,       0.057495
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,4,       0.057067
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,5,       0.057041
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,6,       0.056996
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,7,       0.059969
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,8,       0.056836
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,9,       0.057014
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,10,       0.056928
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,11,       0.056960
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,12,       0.056999
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,13,       0.056899
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,14,       0.056781
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,15,       0.056749
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,16,       0.056768
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,17,       0.056759
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,18,       0.056682
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,19,       0.056757
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,0,       0.340461
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,1,       0.401343
