dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,       1.270780
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,       0.890863
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,       0.951028
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,       0.953375
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,       0.890692
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,       0.921941
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,       0.958377
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,       0.940106
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       0.919907
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.939435
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.942483
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.906532
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.897111
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.943215
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.945201
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.885726
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.947166
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.947059
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.904940
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.893935
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,0,       9.020657
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,1,       9.329164
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,2,       9.500390
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,3,       9.227993
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,4,       9.110059
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,5,       9.329001
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,6,       9.157414
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,7,       9.133574
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,8,       9.148796
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,9,       9.386736
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,10,       9.262572
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,11,       9.144037
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,12,       9.301638
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,13,       9.123613
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,14,      10.119341
