dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,       0.813673
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,       0.832655
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,       0.783220
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,       0.792549
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,       0.812005
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,       0.789488
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,       0.855025
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,       0.785867
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,       0.849740
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,       0.793063
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,       0.849880
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,       0.787026
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,       0.789799
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,       0.816737
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,       0.792651
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,15,       0.855609
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,16,       0.786925
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,17,       0.848340
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,       0.792374
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,19,       0.844563
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,       8.200918
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,       8.600372
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,       8.180459
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,       8.064880
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,       8.144964
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,       8.149418
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,       8.030278
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,       8.158028
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,       8.023195
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,       8.402150
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,       8.396061
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,       8.241631
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,       8.421397
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,       8.178157
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,       8.501745
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,15,       8.324155
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,16,       8.429259
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,17,       8.473810
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,18,       8.610583
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,19,       8.620313
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,0,      35.895521
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,1,      35.527527
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,2,      35.881776
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,3,      35.335134
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,4,      35.402318
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,5,      35.403776
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,6,      36.156313
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,7,      35.921804
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,8,      35.379067
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,9,      35.742015
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,10,      35.533155
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,11,      35.401181
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,12,      35.585650
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,13,      35.346631
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,14,      36.390878
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,      35.349230
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,      35.934278
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,      35.340780
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,      35.644094
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,19,      35.434425
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,0,      76.550697
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,1,      75.939482
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,2,      76.864339
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,3,      76.350750
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,4,      75.774660
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,5,      77.003435
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,6,      76.341436
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,7,      78.393436
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,8,      76.325063
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,9,      75.933966
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,10,      75.485271
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,11,      77.688478
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,12,      80.630824
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,13,      76.596656
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,14,      75.650113
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,15,      75.926909
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,16,      75.749163
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,17,      76.491272
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,18,      76.634370
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,19,      77.126975
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,0,     161.868322
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,1,     156.057686
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,2,     157.175112
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,3,     156.388102
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,4,     154.778252
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,5,     154.384097
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,6,     156.176960
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,7,     154.444566
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,8,     155.557216
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,9,     156.466299
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,10,     156.462467
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,11,     161.712738
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,12,     155.647262
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,13,     155.083116
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,14,     159.147287
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,15,     156.642286
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,16,     156.721832
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,17,     157.147059
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,18,     155.810051
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,19,     155.743320
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,0,     274.375432
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,1,     271.907384
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,2,     275.105097
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,3,     272.550270
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,4,     273.819894
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,5,     277.915429
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,6,     273.124243
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,7,     275.184391
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,8,     273.525438
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,9,     270.219345
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,10,     272.388853
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,11,     272.717642
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,12,     272.604706
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,13,     274.440901
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,14,     277.941460
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,15,     272.187737
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,16,     270.673562
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,17,     272.370525
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,18,     274.610260
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",384,19,     271.003427
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,0,     520.402028
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,1,     522.801184
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,2,     527.514193
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,3,     522.038628
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,4,     536.312343
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,5,     520.514561
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,6,     520.971942
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,7,     520.456731
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,8,     521.513819
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,9,     520.559268
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,10,     518.859460
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,11,     521.501722
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,12,     519.271335
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,13,     535.567571
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,14,     519.017291
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,15,     518.575805
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,16,     518.770697
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,17,     520.189070
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,18,     527.183586
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",448,19,     521.556260
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,0,     695.758480
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,1,     700.707507
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,2,     706.928206
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,3,     703.983432
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,4,     696.942370
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,5,     697.251302
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,6,     709.162983
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,7,     721.773926
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,8,     699.356519
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,9,     699.125010
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,10,     696.165164
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,11,     697.600660
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,12,     700.126023
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,13,     696.781190
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,14,     697.765147
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,15,     695.757936
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,16,     699.128764
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,17,     694.718435
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,18,     694.856606
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",512,19,     697.764966
