dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,0,       2.668791
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,1,       2.242792
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,2,       2.234090
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,3,       2.253749
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,4,       2.231156
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,5,       2.216887
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,6,       2.207039
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,7,       2.172551
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,8,       2.230291
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,9,       2.205172
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,10,       2.203512
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,11,       2.258883
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,12,       2.230054
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,13,       2.248750
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,14,       2.241969
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,15,       2.249731
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,16,       2.273205
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,17,       2.268524
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,18,       2.267599
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,19,       2.237768
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,0,      31.802457
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,1,      32.004858
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,2,      31.395351
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,3,      31.715213
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,4,      32.865135
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,5,      32.739678
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,6,      31.624275
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,7,      31.291406
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,8,      32.632418
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,9,      31.779752
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,10,      32.517947
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,11,      32.964000
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,12,      32.707414
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,13,      33.072372
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,14,      32.744797
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,15,      31.511790
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,16,      32.639033
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,17,      32.504649
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,18,      31.354752
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,19,      32.825006
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,0,     259.434747
