dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,0,       1.346969
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,1,       0.950942
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,2,       0.960012
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,3,       0.937874
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,4,       0.953170
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,5,       0.910127
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,6,       0.903448
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,7,       0.968866
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       0.933760
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.904083
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.946353
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.928435
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.914144
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.906908
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.957489
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.901473
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.890919
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.953398
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.939158
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.894821
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,0,       9.102906
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,1,       9.385115
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,2,       9.346414
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,3,       9.289016
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,4,       9.364504
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,5,       9.463794
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,6,       9.506294
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,7,       9.716716
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,8,       9.450107
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,9,       9.468382
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,10,       9.434008
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,11,       9.413007
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,12,       9.813539
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,13,       9.476048
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,14,       9.354648
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,15,       9.499661
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,16,       9.368759
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,17,       9.333008
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,18,       9.636038
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,19,       9.519782
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,0,      40.501928
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,1,      40.827217
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,2,      40.886624
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,3,      40.564668
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,4,      40.471603
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,5,      40.774297
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,6,      41.088865
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,7,      41.116715
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,8,      41.429431
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,9,      41.480488
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,10,      40.820344
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,11,      41.299852
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,12,      41.207995
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,13,      41.343976
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,14,      41.416771
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,15,      41.753734
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,16,      40.528632
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,17,      40.745063
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,18,      41.120750
3,double,uniform,PoisFFT,"P | P | P | P | D | N",192,19,      40.786168
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,0,     159.676496
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,1,     159.247261
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,2,     158.674004
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,3,     155.829791
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,4,     154.176065
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,5,     152.177777
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,6,     153.648630
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,7,     153.374035
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,8,     154.599292
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,9,     154.037366
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,10,     154.900976
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,11,     149.786842
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,12,     153.223440
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,13,     152.977319
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,14,     155.776802
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,15,     152.335883
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,16,     151.523677
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,17,     150.629825
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,18,     156.966760
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,19,     147.464958
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,0,     238.222263
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,1,     233.437570
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,2,     234.712188
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,3,     234.926383
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,4,     230.991525
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,5,     226.990785
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,6,     226.120979
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,7,     231.378321
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,8,     229.121641
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,9,     225.386864
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,10,     225.704333
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,11,     229.335416
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,12,     225.083429
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,13,     222.741200
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,14,     225.100917
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,15,     230.341443
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,16,     226.996800
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,17,     225.910060
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,18,     224.174448
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,19,     222.312458
3,double,uniform,PoisFFT,"P | P | P | P | D | N",384,0,     526.967222
3,double,uniform,PoisFFT,"P | P | P | P | D | N",384,1,     536.781311
3,double,uniform,PoisFFT,"P | P | P | P | D | N",384,2,     546.854437
3,double,uniform,PoisFFT,"P | P | P | P | D | N",384,3,     532.584999
3,double,uniform,PoisFFT,"P | P | P | P | D | N",384,4,     532.918274
