dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"N | D",64,0,       0.004253
1,float,uniform,PoisFFT,"N | D",64,1,       0.000978
1,float,uniform,PoisFFT,"N | D",64,2,       0.000793
1,float,uniform,PoisFFT,"N | D",64,3,       0.000740
1,float,uniform,PoisFFT,"N | D",64,4,       0.000746
1,float,uniform,PoisFFT,"N | D",64,5,       0.000738
1,float,uniform,PoisFFT,"N | D",64,6,       0.000741
1,float,uniform,PoisFFT,"N | D",64,7,       0.000741
1,float,uniform,PoisFFT,"N | D",64,8,       0.000742
1,float,uniform,PoisFFT,"N | D",64,9,       0.000740
1,float,uniform,PoisFFT,"N | D",64,10,       0.000740
1,float,uniform,PoisFFT,"N | D",64,11,       0.000739
1,float,uniform,PoisFFT,"N | D",64,12,       0.000747
1,float,uniform,PoisFFT,"N | D",64,13,       0.000739
1,float,uniform,PoisFFT,"N | D",64,14,       0.000734
1,float,uniform,PoisFFT,"N | D",64,15,       0.000743
1,float,uniform,PoisFFT,"N | D",64,16,       0.000854
1,float,uniform,PoisFFT,"N | D",64,17,       0.000791
1,float,uniform,PoisFFT,"N | D",64,18,       0.000792
1,float,uniform,PoisFFT,"N | D",64,19,       0.000797
1,float,uniform,PoisFFT,"N | D",128,0,       0.001787
1,float,uniform,PoisFFT,"N | D",128,1,       0.001517
1,float,uniform,PoisFFT,"N | D",128,2,       0.001451
1,float,uniform,PoisFFT,"N | D",128,3,       0.001432
1,float,uniform,PoisFFT,"N | D",128,4,       0.001417
1,float,uniform,PoisFFT,"N | D",128,5,       0.001409
1,float,uniform,PoisFFT,"N | D",128,6,       0.001413
1,float,uniform,PoisFFT,"N | D",128,7,       0.001413
1,float,uniform,PoisFFT,"N | D",128,8,       0.001407
1,float,uniform,PoisFFT,"N | D",128,9,       0.001415
1,float,uniform,PoisFFT,"N | D",128,10,       0.001413
1,float,uniform,PoisFFT,"N | D",128,11,       0.001411
1,float,uniform,PoisFFT,"N | D",128,12,       0.001410
1,float,uniform,PoisFFT,"N | D",128,13,       0.001416
1,float,uniform,PoisFFT,"N | D",128,14,       0.001409
1,float,uniform,PoisFFT,"N | D",128,15,       0.001413
1,float,uniform,PoisFFT,"N | D",128,16,       0.001411
1,float,uniform,PoisFFT,"N | D",128,17,       0.001408
1,float,uniform,PoisFFT,"N | D",128,18,       0.001407
1,float,uniform,PoisFFT,"N | D",128,19,       0.001411
1,float,uniform,PoisFFT,"N | D",192,0,       0.003139
1,float,uniform,PoisFFT,"N | D",192,1,       0.002566
1,float,uniform,PoisFFT,"N | D",192,2,       0.002490
1,float,uniform,PoisFFT,"N | D",192,3,       0.002451
1,float,uniform,PoisFFT,"N | D",192,4,       0.002435
1,float,uniform,PoisFFT,"N | D",192,5,       0.002457
1,float,uniform,PoisFFT,"N | D",192,6,       0.002448
