dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,       1.351770
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,       0.903962
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,       0.936004
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,       0.966251
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,       0.937400
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,       0.910000
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,       0.925051
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       0.948435
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.901014
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.908379
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.966024
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.893524
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.898138
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.957538
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.932037
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.904260
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.951920
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.957956
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.900528
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.948338
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,0,       9.100468
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,1,       9.042416
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,2,       8.832292
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,3,       8.898146
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,4,       8.794049
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,5,       8.794448
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,6,       8.895885
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,7,       8.791932
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,8,       8.853167
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,9,       8.779577
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,10,       8.800768
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,11,       8.979468
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,12,       8.888908
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,13,       8.722883
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,14,       8.802386
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,15,       9.150966
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,16,       8.879600
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,17,       8.742319
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,18,       8.859774
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,19,       8.842144
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,0,      40.690003
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,1,      40.787283
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,2,      40.768036
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,3,      41.426911
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,4,      41.237505
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,5,      40.200773
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,6,      40.670997
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,7,      42.491184
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,8,      41.375552
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,9,      41.303385
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,10,      41.249553
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,11,      41.555530
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,12,      41.153113
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,13,      41.727709
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,14,      41.249750
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,15,      41.325173
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,16,      40.183614
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,17,      40.580478
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,18,      39.946737
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,19,      41.224521
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,0,     147.332545
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,1,     152.010766
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",256,2,     156.253595
