dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,       1.641009
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,       1.246226
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,       1.258766
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,       1.301128
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,       1.298747
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,       1.238527
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,       1.298649
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,       1.342138
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,       1.281438
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,       1.314432
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       1.349983
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       1.269339
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       1.279000
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       1.354395
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       1.353297
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       1.386973
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       1.243869
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       1.263785
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       1.291457
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       1.304322
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       9.077273
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       8.657232
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       8.645966
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       8.795886
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       8.551888
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       8.637453
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,6,       8.645798
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,7,       8.664655
