dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,       1.303436
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,       0.878102
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,       0.866987
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,       0.867307
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,       0.948229
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,       0.869071
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,       0.866476
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,       0.869108
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,       0.869513
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,       0.889840
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,       0.892477
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,       0.886728
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,       0.879619
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,       0.874447
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,       0.878566
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,       0.896005
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,       0.873430
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,       0.839978
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,       0.793829
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,       0.862733
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,0,       7.678262
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,       7.711673
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,       7.495975
