dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,0,       1.353485
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,1,       0.580234
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,2,       0.569475
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,3,       0.560211
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,4,       0.568940
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,5,       0.586459
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,6,       0.552858
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,7,       0.568443
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,8,       0.594211
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,9,       0.586247
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,10,       0.550887
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,11,       0.589956
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,12,       0.571954
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,13,       0.556339
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,14,       0.555574
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,15,       0.574073
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,16,       0.591441
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,17,       0.575007
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,18,       0.585016
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,19,       0.562846
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,0,       4.555799
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,1,       4.291918
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,2,       4.305323
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,3,       4.111942
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,4,       4.116107
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,5,       4.192341
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,6,       4.137051
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,7,       4.271857
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,8,       4.179039
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,9,       4.201502
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,10,       4.302517
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,11,       4.318298
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,12,       4.351167
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,13,       4.198862
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,14,       4.405372
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,15,       4.305201
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,16,       4.330390
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,17,       4.345286
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,18,       4.309589
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,19,       4.284237
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,0,      20.594204
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,1,      20.177438
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,2,      20.642000
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,3,      20.499985
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,4,      20.135499
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,5,      20.219456
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,6,      20.185612
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,7,      20.088239
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,8,      20.162684
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,9,      20.238172
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,10,      20.259568
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,11,      20.382562
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,12,      20.111655
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,13,      21.048982
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,14,      20.147917
