dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"Ds | Ds",64,0,       0.002862
1,double,uniform,PoisFFT,"Ds | Ds",64,1,       0.000928
1,double,uniform,PoisFFT,"Ds | Ds",64,2,       0.000835
1,double,uniform,PoisFFT,"Ds | Ds",64,3,       0.000804
1,double,uniform,PoisFFT,"Ds | Ds",64,4,       0.000792
1,double,uniform,PoisFFT,"Ds | Ds",64,5,       0.000804
1,double,uniform,PoisFFT,"Ds | Ds",64,6,       0.000789
1,double,uniform,PoisFFT,"Ds | Ds",64,7,       0.000808
1,double,uniform,PoisFFT,"Ds | Ds",64,8,       0.000793
1,double,uniform,PoisFFT,"Ds | Ds",64,9,       0.000801
1,double,uniform,PoisFFT,"Ds | Ds",64,10,       0.000806
1,double,uniform,PoisFFT,"Ds | Ds",64,11,       0.000790
1,double,uniform,PoisFFT,"Ds | Ds",64,12,       0.000788
1,double,uniform,PoisFFT,"Ds | Ds",64,13,       0.000811
1,double,uniform,PoisFFT,"Ds | Ds",64,14,       0.000791
1,double,uniform,PoisFFT,"Ds | Ds",64,15,       0.000793
1,double,uniform,PoisFFT,"Ds | Ds",64,16,       0.000790
1,double,uniform,PoisFFT,"Ds | Ds",64,17,       0.000805
1,double,uniform,PoisFFT,"Ds | Ds",64,18,       0.000804
1,double,uniform,PoisFFT,"Ds | Ds",64,19,       0.000795
1,double,uniform,PoisFFT,"Ds | Ds",128,0,       0.002005
1,double,uniform,PoisFFT,"Ds | Ds",128,1,       0.001723
1,double,uniform,PoisFFT,"Ds | Ds",128,2,       0.001691
1,double,uniform,PoisFFT,"Ds | Ds",128,3,       0.001656
1,double,uniform,PoisFFT,"Ds | Ds",128,4,       0.001642
1,double,uniform,PoisFFT,"Ds | Ds",128,5,       0.001645
1,double,uniform,PoisFFT,"Ds | Ds",128,6,       0.001648
1,double,uniform,PoisFFT,"Ds | Ds",128,7,       0.001668
1,double,uniform,PoisFFT,"Ds | Ds",128,8,       0.001650
1,double,uniform,PoisFFT,"Ds | Ds",128,9,       0.001646
1,double,uniform,PoisFFT,"Ds | Ds",128,10,       0.001633
1,double,uniform,PoisFFT,"Ds | Ds",128,11,       0.001635
1,double,uniform,PoisFFT,"Ds | Ds",128,12,       0.001637
1,double,uniform,PoisFFT,"Ds | Ds",128,13,       0.001635
1,double,uniform,PoisFFT,"Ds | Ds",128,14,       0.001636
1,double,uniform,PoisFFT,"Ds | Ds",128,15,       0.001635
1,double,uniform,PoisFFT,"Ds | Ds",128,16,       0.001636
1,double,uniform,PoisFFT,"Ds | Ds",128,17,       0.001651
1,double,uniform,PoisFFT,"Ds | Ds",128,18,       0.001633
1,double,uniform,PoisFFT,"Ds | Ds",128,19,       0.001634
1,double,uniform,PoisFFT,"Ds | Ds",192,0,       0.003442
1,double,uniform,PoisFFT,"Ds | Ds",192,1,       0.003036
1,double,uniform,PoisFFT,"Ds | Ds",192,2,       0.002867
1,double,uniform,PoisFFT,"Ds | Ds",192,3,       0.002842
1,double,uniform,PoisFFT,"Ds | Ds",192,4,       0.002809
1,double,uniform,PoisFFT,"Ds | Ds",192,5,       0.002873
1,double,uniform,PoisFFT,"Ds | Ds",192,6,       0.002794
1,double,uniform,PoisFFT,"Ds | Ds",192,7,       0.002814
1,double,uniform,PoisFFT,"Ds | Ds",192,8,       0.002821
1,double,uniform,PoisFFT,"Ds | Ds",192,9,       0.002829
1,double,uniform,PoisFFT,"Ds | Ds",192,10,       0.002832
1,double,uniform,PoisFFT,"Ds | Ds",192,11,       0.002825
1,double,uniform,PoisFFT,"Ds | Ds",192,12,       0.002828
1,double,uniform,PoisFFT,"Ds | Ds",192,13,       0.002823
1,double,uniform,PoisFFT,"Ds | Ds",192,14,       0.002824
1,double,uniform,PoisFFT,"Ds | Ds",192,15,       0.002846
1,double,uniform,PoisFFT,"Ds | Ds",192,16,       0.002836
1,double,uniform,PoisFFT,"Ds | Ds",192,17,       0.002829
1,double,uniform,PoisFFT,"Ds | Ds",192,18,       0.019096
1,double,uniform,PoisFFT,"Ds | Ds",192,19,       0.003049
1,double,uniform,PoisFFT,"Ds | Ds",256,0,       0.004112
1,double,uniform,PoisFFT,"Ds | Ds",256,1,       0.003720
1,double,uniform,PoisFFT,"Ds | Ds",256,2,       0.003670
1,double,uniform,PoisFFT,"Ds | Ds",256,3,       0.003628
1,double,uniform,PoisFFT,"Ds | Ds",256,4,       0.003619
1,double,uniform,PoisFFT,"Ds | Ds",256,5,       0.003625
1,double,uniform,PoisFFT,"Ds | Ds",256,6,       0.003627
1,double,uniform,PoisFFT,"Ds | Ds",256,7,       0.003653
1,double,uniform,PoisFFT,"Ds | Ds",256,8,       0.003633
1,double,uniform,PoisFFT,"Ds | Ds",256,9,       0.003637
1,double,uniform,PoisFFT,"Ds | Ds",256,10,       0.003638
1,double,uniform,PoisFFT,"Ds | Ds",256,11,       0.003620
1,double,uniform,PoisFFT,"Ds | Ds",256,12,       0.018484
1,double,uniform,PoisFFT,"Ds | Ds",256,13,       0.003813
1,double,uniform,PoisFFT,"Ds | Ds",256,14,       0.003973
1,double,uniform,PoisFFT,"Ds | Ds",256,15,       0.003884
1,double,uniform,PoisFFT,"Ds | Ds",256,16,       0.003521
1,double,uniform,PoisFFT,"Ds | Ds",256,17,       0.004111
1,double,uniform,PoisFFT,"Ds | Ds",256,18,       0.004030
1,double,uniform,PoisFFT,"Ds | Ds",256,19,       0.004065
1,double,uniform,PoisFFT,"Ds | Ds",320,0,       0.005954
1,double,uniform,PoisFFT,"Ds | Ds",320,1,       0.005184
1,double,uniform,PoisFFT,"Ds | Ds",320,2,       0.005089
1,double,uniform,PoisFFT,"Ds | Ds",320,3,       0.005122
1,double,uniform,PoisFFT,"Ds | Ds",320,4,       0.005088
1,double,uniform,PoisFFT,"Ds | Ds",320,5,       0.005087
1,double,uniform,PoisFFT,"Ds | Ds",320,6,       0.005091
1,double,uniform,PoisFFT,"Ds | Ds",320,7,       0.005079
1,double,uniform,PoisFFT,"Ds | Ds",320,8,       0.005051
1,double,uniform,PoisFFT,"Ds | Ds",320,9,       0.005039
1,double,uniform,PoisFFT,"Ds | Ds",320,10,       0.005071
1,double,uniform,PoisFFT,"Ds | Ds",320,11,       0.021695
1,double,uniform,PoisFFT,"Ds | Ds",320,12,       0.005416
1,double,uniform,PoisFFT,"Ds | Ds",320,13,       0.005493
1,double,uniform,PoisFFT,"Ds | Ds",320,14,       0.005423
1,double,uniform,PoisFFT,"Ds | Ds",320,15,       0.005449
1,double,uniform,PoisFFT,"Ds | Ds",320,16,       0.005453
1,double,uniform,PoisFFT,"Ds | Ds",320,17,       0.005480
1,double,uniform,PoisFFT,"Ds | Ds",320,18,       0.005463
1,double,uniform,PoisFFT,"Ds | Ds",320,19,       0.005414
1,double,uniform,PoisFFT,"Ds | Ds",384,0,       0.006062
1,double,uniform,PoisFFT,"Ds | Ds",384,1,       0.005489
1,double,uniform,PoisFFT,"Ds | Ds",384,2,       0.005428
1,double,uniform,PoisFFT,"Ds | Ds",384,3,       0.005414
1,double,uniform,PoisFFT,"Ds | Ds",384,4,       0.005395
1,double,uniform,PoisFFT,"Ds | Ds",384,5,       0.005388
1,double,uniform,PoisFFT,"Ds | Ds",384,6,       0.005412
1,double,uniform,PoisFFT,"Ds | Ds",384,7,       0.005334
1,double,uniform,PoisFFT,"Ds | Ds",384,8,       0.005370
1,double,uniform,PoisFFT,"Ds | Ds",384,9,       0.005387
1,double,uniform,PoisFFT,"Ds | Ds",384,10,       0.005416
1,double,uniform,PoisFFT,"Ds | Ds",384,11,       0.021984
1,double,uniform,PoisFFT,"Ds | Ds",384,12,       0.005811
1,double,uniform,PoisFFT,"Ds | Ds",384,13,       0.005787
1,double,uniform,PoisFFT,"Ds | Ds",384,14,       0.005801
1,double,uniform,PoisFFT,"Ds | Ds",384,15,       0.005848
1,double,uniform,PoisFFT,"Ds | Ds",384,16,       0.005857
1,double,uniform,PoisFFT,"Ds | Ds",384,17,       0.005794
1,double,uniform,PoisFFT,"Ds | Ds",384,18,       0.005814
1,double,uniform,PoisFFT,"Ds | Ds",384,19,       0.005770
1,double,uniform,PoisFFT,"Ds | Ds",448,0,       0.007404
1,double,uniform,PoisFFT,"Ds | Ds",448,1,       0.006994
1,double,uniform,PoisFFT,"Ds | Ds",448,2,       0.006999
1,double,uniform,PoisFFT,"Ds | Ds",448,3,       0.006877
1,double,uniform,PoisFFT,"Ds | Ds",448,4,       0.006905
1,double,uniform,PoisFFT,"Ds | Ds",448,5,       0.006867
1,double,uniform,PoisFFT,"Ds | Ds",448,6,       0.006900
1,double,uniform,PoisFFT,"Ds | Ds",448,7,       0.006933
1,double,uniform,PoisFFT,"Ds | Ds",448,8,       0.006840
1,double,uniform,PoisFFT,"Ds | Ds",448,9,       0.007442
1,double,uniform,PoisFFT,"Ds | Ds",448,10,       0.007403
1,double,uniform,PoisFFT,"Ds | Ds",448,11,       0.007372
1,double,uniform,PoisFFT,"Ds | Ds",448,12,       0.007417
1,double,uniform,PoisFFT,"Ds | Ds",448,13,       0.007355
1,double,uniform,PoisFFT,"Ds | Ds",448,14,       0.007394
1,double,uniform,PoisFFT,"Ds | Ds",448,15,       0.007389
1,double,uniform,PoisFFT,"Ds | Ds",448,16,       0.007374
1,double,uniform,PoisFFT,"Ds | Ds",448,17,       0.007353
1,double,uniform,PoisFFT,"Ds | Ds",448,18,       0.024291
1,double,uniform,PoisFFT,"Ds | Ds",448,19,       0.007667
1,double,uniform,PoisFFT,"Ds | Ds",512,0,       0.007955
1,double,uniform,PoisFFT,"Ds | Ds",512,1,       0.007449
1,double,uniform,PoisFFT,"Ds | Ds",512,2,       0.007369
1,double,uniform,PoisFFT,"Ds | Ds",512,3,       0.007351
1,double,uniform,PoisFFT,"Ds | Ds",512,4,       0.007321
1,double,uniform,PoisFFT,"Ds | Ds",512,5,       0.007934
1,double,uniform,PoisFFT,"Ds | Ds",512,6,       0.007336
1,double,uniform,PoisFFT,"Ds | Ds",512,7,       0.007330
1,double,uniform,PoisFFT,"Ds | Ds",512,8,       0.023800
1,double,uniform,PoisFFT,"Ds | Ds",512,9,       0.007877
1,double,uniform,PoisFFT,"Ds | Ds",512,10,       0.007819
1,double,uniform,PoisFFT,"Ds | Ds",512,11,       0.007868
1,double,uniform,PoisFFT,"Ds | Ds",512,12,       0.007826
1,double,uniform,PoisFFT,"Ds | Ds",512,13,       0.007849
1,double,uniform,PoisFFT,"Ds | Ds",512,14,       0.007863
1,double,uniform,PoisFFT,"Ds | Ds",512,15,       0.007840
1,double,uniform,PoisFFT,"Ds | Ds",512,16,       0.007873
1,double,uniform,PoisFFT,"Ds | Ds",512,17,       0.024553
1,double,uniform,PoisFFT,"Ds | Ds",512,18,       0.008194
1,double,uniform,PoisFFT,"Ds | Ds",512,19,       0.008125
