dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,0,       1.756918
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,1,       0.556893
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,2,       0.519364
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,3,       0.560213
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,4,       0.542742
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,5,       0.527278
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,6,       0.532050
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,7,       0.532985
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,8,       0.569491
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,9,       0.532517
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,10,       0.519881
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,11,       0.532000
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,12,       0.518969
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,13,       0.520313
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,14,       0.533077
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,15,       0.542888
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,16,       0.515089
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,17,       0.527472
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,18,       0.535918
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,19,       0.540162
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,0,       3.520710
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,1,       2.970387
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,2,       3.000099
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,3,       3.047823
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,4,       3.061691
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,5,       2.973563
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,6,       2.908339
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,7,       3.006459
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,8,       2.931694
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,9,       2.972206
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,10,       2.896090
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,11,       3.025756
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,12,       2.954987
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,13,       2.897403
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,14,       3.043769
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,15,       2.999618
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,16,       2.970117
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,17,       3.043051
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,18,       3.000089
3,float,uniform,PoisFFT,"P | P | P | P | P | P",128,19,       2.914486
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,0,      12.875405
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,1,      11.675461
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,2,      11.601773
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,3,      11.653661
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,4,      11.635872
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,5,      11.660210
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,6,      15.300584
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,7,      11.660946
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,8,      11.636628
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,9,      11.662640
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,10,      11.592458
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,11,      11.647219
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,12,      11.685641
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,13,      11.657312
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,14,      11.674378
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,15,      11.638498
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,16,      11.665607
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,17,      11.664983
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,18,      11.672467
3,float,uniform,PoisFFT,"P | P | P | P | P | P",192,19,      11.665513
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,0,      33.995528
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,1,      32.886725
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,2,      32.892482
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,3,      32.867695
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,4,      32.830631
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,5,      32.870600
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,6,      32.840302
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,7,      32.821530
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,8,      32.830631
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,9,      32.875521
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,10,      32.895499
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,11,      32.928300
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,12,      32.814141
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,13,      32.854184
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,14,      32.879948
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,15,      32.927194
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,16,      32.792480
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,17,      32.912951
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,18,      32.900009
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,19,      32.935656
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,0,      67.352403
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,1,      66.612286
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,2,      66.351592
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,3,      66.313751
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,4,      66.354567
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,5,      66.269559
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,6,      66.321939
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,7,      66.455473
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,8,      66.455559
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,9,      66.424144
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,10,      66.557894
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,11,      66.316617
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,12,      66.748647
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,13,      66.339890
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,14,      67.006563
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,15,      66.563438
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,16,      66.528140
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,17,      66.249284
