dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,11,       4.626740
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,12,       4.617266
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,13,       6.034280
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,14,       4.615195
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,15,       4.765394
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,16,       4.575935
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,17,       4.628613
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,18,       4.565298
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,19,       4.674784
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,0,      19.794129
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,1,      18.208514
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,2,      18.690151
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,3,      18.925324
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,4,      18.648128
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,5,      18.502370
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,6,      18.927988
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,7,      19.148544
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,8,      18.809036
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,9,      19.202360
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,10,      18.405356
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,11,      20.208198
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,12,      19.569931
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,13,      19.055004
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,14,      19.646945
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,15,      19.499710
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,16,      21.043589
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,17,      19.203545
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,18,      20.005196
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,19,      19.581997
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,0,     103.855610
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,1,     102.267062
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,2,     103.659082
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,3,     101.600180
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,4,     101.550773
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,5,     100.514858
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,6,     107.233970
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,7,     106.577813
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,8,     100.552264
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,9,     101.089712
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,10,     100.346185
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,11,      99.177554
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,12,     101.374322
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,13,      96.584034
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,14,      94.839926
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,15,      98.586932
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,16,      97.327028
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,17,      92.075816
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,18,      92.857594
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,19,      93.328493
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,0,     113.983211
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,1,     114.700966
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,2,     114.845422
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,3,     116.015109
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,4,     112.358733
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,5,     113.786856
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,6,     115.502507
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,7,     114.007596
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,8,     116.675218
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,9,     113.278621
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,10,     118.339490
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,11,     135.164114
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,12,     112.705377
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,13,     109.667481
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,14,     110.755820
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,15,     108.278170
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,16,     107.018567
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,17,     111.440288
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,18,     118.710350
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,19,     116.533727
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,0,     460.819320
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,1,     404.811954
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,2,     392.940374
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,3,     378.148609
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,4,     396.722718
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,5,     396.836352
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,6,     424.979651
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,7,     411.798968
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,8,     394.270299
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,9,     384.805865
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,10,     389.793289
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,11,     397.735024
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,12,     384.580740
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,13,     383.421720
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,14,     391.918473
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,15,     395.269542
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,16,     391.988018
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,17,     386.581509
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,18,     380.756699
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,19,     387.103345
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,0,     599.300951
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,1,     572.435601
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,2,     517.533275
