dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       2.104583
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.652597
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.643049
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.656921
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.650781
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.641009
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.647217
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.656311
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.661048
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.647308
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.651063
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.650497
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.647481
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.649685
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.656333
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.658781
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.642685
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.646518
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.648487
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.663854
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       6.889892
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       5.222751
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       4.970286
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       4.946012
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       4.982488
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       5.045467
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,6,      22.732703
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,7,      23.206299
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       6.113609
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       4.977322
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       4.964332
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       4.981219
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,12,       4.928055
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,13,       4.941337
