dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,0,      15.494954
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,1,      18.016111
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,2,      17.798267
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,3,      17.746431
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,4,      17.666611
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,5,      17.624233
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,6,      17.437745
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,7,      17.679827
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,8,      17.607754
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,9,      17.561462
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,10,      17.469306
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,11,      17.463036
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,12,      17.245324
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,13,      17.718312
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,14,      17.524748
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,15,      17.324036
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,16,      17.474655
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,17,      17.359356
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,18,      17.625801
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,19,      17.995333
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,0,       4.644817
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,1,       4.305890
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,2,       4.173436
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,3,       4.138849
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,4,       4.138428
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,5,       4.267811
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,6,       4.136046
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,7,       4.133772
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,8,       4.118930
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,9,       4.135942
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,10,       4.107911
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,11,       4.110099
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,12,       4.208830
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,13,       4.178263
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,14,       4.176367
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,15,       4.152843
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,16,       4.122184
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,17,       4.139309
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,18,       4.100951
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,19,       4.106043
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,0,      16.092526
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,1,      15.423804
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,2,      15.073623
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,3,      14.656009
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,4,      14.552702
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,5,      14.603855
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,6,      14.528144
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,7,      14.829663
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,8,      14.772666
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,9,      14.755927
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,10,      14.770026
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,11,      14.672628
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,12,      14.611263
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,13,      14.964026
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,14,      14.715522
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,15,      14.653605
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,16,      14.509964
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,17,      14.721921
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,18,      14.627137
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,19,      14.658731
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,0,      61.441892
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,1,      59.532797
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,2,      60.667394
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,3,      61.954973
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,4,      60.661798
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,5,      61.135294
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,6,      61.716764
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,7,      64.846730
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,8,      79.304196
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,9,      72.629968
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,10,      72.675916
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,11,      73.187852
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,12,      68.753977
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,13,      64.889448
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,14,      59.243783
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,15,      61.550131
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,16,      60.394098
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,17,      57.271332
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,18,      58.893808
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,19,      58.081863
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,0,      63.260011
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,1,      63.906981
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,2,      63.929919
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,3,      63.547611
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,4,      63.053775
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,5,      63.036433
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,6,      62.530234
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,7,      62.703991
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,8,      63.768388
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,9,      62.598946
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,10,      62.943214
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,11,      63.498107
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,12,      67.511578
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,13,      73.286290
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,14,      64.371248
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,15,      63.470058
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,16,      64.163030
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,17,      64.169606
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,18,      64.134989
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",320,19,      63.231390
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,0,     175.461843
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,1,     177.853347
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,2,     173.546362
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,3,     177.239997
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,4,     180.321730
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,5,     176.374865
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",384,6,     174.896741
