dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,0,       1.702635
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,1,       0.563799
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,2,       0.546170
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,3,       0.575095
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,4,       0.554506
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,5,       0.540426
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,6,       0.550174
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,7,       0.555281
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,8,       0.554699
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,9,       0.550532
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,10,       0.543553
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,11,       0.540318
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,12,       0.527438
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,13,       0.538787
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,14,       0.561131
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,15,       0.566432
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,16,       0.544348
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,17,       0.563018
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,18,       0.540149
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,19,       0.545131
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,0,       3.492114
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,1,       3.474083
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,2,       3.319985
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,3,       3.432087
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,4,       3.320289
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,5,       3.395075
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,6,       3.496300
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,7,       3.330888
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,8,       3.429336
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,9,       3.569646
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,10,       3.303030
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,11,       3.538188
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,12,       3.290324
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,13,       3.526184
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,14,       3.304093
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,15,       3.281585
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,16,       3.479761
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,17,       3.334703
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,18,       3.315856
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",128,19,       3.478263
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,0,      13.759259
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,1,      13.126425
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,2,      12.865564
