dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,      16.760744
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,      18.994604
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,      18.465601
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,      18.708017
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,      18.136665
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,      18.166135
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,      18.325055
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,      18.729913
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,      18.080953
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,      18.117715
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,      18.717466
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,      18.052125
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,      18.140830
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,      18.361637
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       8.401933
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       1.646259
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       1.692088
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       1.732998
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       1.812983
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       1.995778
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,       9.322726
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,       9.068835
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,2,       9.463690
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,3,       9.558915
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,4,       9.164710
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,5,       9.183664
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,6,       9.270982
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,7,       8.983979
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,8,       9.499303
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,9,       9.161969
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,10,       9.642031
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,11,       9.534388
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,12,       9.310836
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,13,       9.243951
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,14,       9.388580
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,15,       9.174274
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,16,       9.472098
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,17,       9.110054
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,18,       9.089509
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,19,       9.004652
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,0,      35.605521
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,1,      34.987303
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,2,      35.519853
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,3,      34.863061
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,4,      35.104476
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,5,      35.481756
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,6,      35.009400
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,7,      35.295008
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,8,      34.669550
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,9,      34.983507
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,10,      35.577013
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,11,      34.838549
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,12,      34.414645
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,13,      35.847731
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,14,      36.042329
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,15,      35.459944
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,16,      34.984539
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,17,      34.857079
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,18,      35.997170
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,19,      35.146656
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,0,      94.372373
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,1,      92.794914
