dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,0,      16.142876
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,1,      17.838174
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,2,      17.849900
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,3,      17.644364
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,4,      17.913301
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,5,      17.856058
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,6,      17.903786
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,7,      17.875793
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,8,      18.527694
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,9,      18.207182
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,10,      18.458445
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,11,      18.258496
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,12,      18.290713
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,13,      18.173886
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,14,      17.757335
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,15,      17.859564
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,16,      17.734778
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,17,      17.583017
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,18,      17.696502
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,19,      17.873275
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,0,       3.487272
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,1,       3.305097
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,2,       5.904602
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,3,       3.267763
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,4,       3.358867
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,5,       3.295449
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,6,       3.235464
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,7,       3.479996
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,8,       3.336406
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,9,       3.294037
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,10,       3.436938
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,11,       3.500204
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,12,       3.526624
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,13,       3.188214
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,14,       3.215273
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,15,       3.270246
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,16,       3.412578
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,17,       3.277611
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,18,       3.465187
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,19,       3.208000
3,float,uniform,PoisFFT,"P | P | P | P | N | D",192,0,      13.410787
