dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,0,       7.268901
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,1,       0.592456
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,2,       0.699784
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,3,       0.668879
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,4,       0.738916
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,5,       0.734045
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,6,       0.656432
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,7,       0.712816
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,8,       0.723917
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,9,       0.699871
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,10,       0.706552
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,11,       0.654511
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,12,       0.698642
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,13,       0.698513
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,14,       0.711850
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,15,       0.698567
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,16,       0.615698
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,17,       0.614911
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,18,       0.719094
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,19,       0.600508
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,0,       3.284481
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,1,       3.064429
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,2,       3.191983
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,3,       3.190520
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,4,       3.164095
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,5,       3.101986
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,6,       3.197167
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,7,       3.271804
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,8,       3.235825
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,9,       3.109386
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,10,       3.122498
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,11,       3.243250
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,12,       3.158501
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,13,       3.278022
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,14,       3.225305
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,15,       3.184444
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,16,       3.114034
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,17,       3.138934
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,18,       3.170488
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,19,       3.079562
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,0,      11.814543
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,1,      11.312746
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,2,      11.222008
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,3,      11.278132
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,4,      11.268052
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,5,      11.326000
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,6,      11.237563
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,7,      11.224288
