dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,5,       1.776684
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,6,       1.777717
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,7,       1.775648
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,8,       1.774616
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,9,       1.776034
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,10,       1.774948
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,11,       1.773483
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,12,       1.911807
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,13,       1.774929
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,14,       1.776441
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,15,       1.775037
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,16,       1.807322
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,17,       1.853415
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,18,       1.910674
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,19,       1.844937
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,0,       2.101290
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,1,       2.099352
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,2,       2.102550
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,3,       2.131524
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,4,       2.103371
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,5,       2.157757
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,6,       2.104029
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,7,       2.104374
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,8,       2.102612
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,9,       2.104859
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,10,       2.158851
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,11,       2.102861
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,12,       2.105926
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,13,       2.103611
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,14,       2.102903
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,15,       2.103839
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,16,       2.104991
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,17,       2.104372
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,18,       2.099390
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,19,       2.101417
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,0,       3.838419
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,1,       3.850373
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,2,       3.857805
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,3,       3.853887
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,4,       3.864194
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,5,       3.848653
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,6,       3.863144
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,7,       3.858910
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,8,       3.857239
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,9,       3.855125
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,10,       3.907810
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,11,       3.856835
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,12,       3.862216
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,13,       3.860375
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,14,       3.859948
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,15,       3.860217
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,16,       3.955801
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,17,       3.906459
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,18,       3.857351
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",384,19,       3.854058
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,0,       6.343842
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,1,       5.851688
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,2,       5.877972
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,3,       5.853156
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,4,       5.846709
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,5,       5.849198
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,6,       5.950301
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,7,       5.849999
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,8,       5.852977
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,9,       5.849479
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,10,       5.853706
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,11,       5.855312
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,12,       5.880552
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,13,       5.853632
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,14,       5.849617
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,15,       5.881591
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,16,       5.852304
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,17,       5.951170
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,18,       5.854774
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",448,19,       5.879624
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,0,       6.889731
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,1,       6.880325
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,2,       7.250225
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,3,       6.883615
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,4,       6.885196
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,5,       6.889444
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,6,       6.885587
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,7,       6.884337
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,8,       6.869488
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,9,       6.878654
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,10,       6.895713
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,11,       6.877801
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,12,       6.887941
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,13,       6.895254
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,14,       6.887346
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,15,       6.888792
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,16,       6.885817
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,17,       6.876443
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,18,       6.891745
2,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds",512,19,       6.884213
