dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,2,     607.919531
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,3,     634.857625
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,4,     618.879388
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,5,     624.358204
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,6,     628.754563
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,7,     629.644273
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,8,     538.387778
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,9,     521.873843
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,10,     514.922346
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,11,     523.648088
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,12,     527.173298
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,13,     521.759187
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,14,     535.229572
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,15,     539.437215
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,16,     516.172273
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,17,     498.139258
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,18,     507.762410
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",448,19,     510.431821
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,0,    1282.300092
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,1,    1301.808450
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,2,    1214.668114
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,3,    1231.839962
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,4,    1267.480672
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,5,    1267.447156
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",512,6,    1251.636327
