dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"D | N",64,0,       0.002943
1,double,uniform,PoisFFT,"D | N",64,1,       0.001049
1,double,uniform,PoisFFT,"D | N",64,2,       0.000922
1,double,uniform,PoisFFT,"D | N",64,3,       0.000882
1,double,uniform,PoisFFT,"D | N",64,4,       0.000879
1,double,uniform,PoisFFT,"D | N",64,5,       0.000880
1,double,uniform,PoisFFT,"D | N",64,6,       0.000877
1,double,uniform,PoisFFT,"D | N",64,7,       0.000872
1,double,uniform,PoisFFT,"D | N",64,8,       0.000868
1,double,uniform,PoisFFT,"D | N",64,9,       0.000879
1,double,uniform,PoisFFT,"D | N",64,10,       0.000875
1,double,uniform,PoisFFT,"D | N",64,11,       0.000880
1,double,uniform,PoisFFT,"D | N",64,12,       0.000874
1,double,uniform,PoisFFT,"D | N",64,13,       0.000862
1,double,uniform,PoisFFT,"D | N",64,14,       0.000844
1,double,uniform,PoisFFT,"D | N",64,15,       0.000850
1,double,uniform,PoisFFT,"D | N",64,16,       0.000840
1,double,uniform,PoisFFT,"D | N",64,17,       0.000849
1,double,uniform,PoisFFT,"D | N",64,18,       0.000849
1,double,uniform,PoisFFT,"D | N",64,19,       0.000856
1,double,uniform,PoisFFT,"D | N",128,0,       0.002007
1,double,uniform,PoisFFT,"D | N",128,1,       0.001716
1,double,uniform,PoisFFT,"D | N",128,2,       0.001684
1,double,uniform,PoisFFT,"D | N",128,3,       0.001881
1,double,uniform,PoisFFT,"D | N",128,4,       0.001708
1,double,uniform,PoisFFT,"D | N",128,5,       0.001710
1,double,uniform,PoisFFT,"D | N",128,6,       0.001710
1,double,uniform,PoisFFT,"D | N",128,7,       0.001714
1,double,uniform,PoisFFT,"D | N",128,8,       0.001713
1,double,uniform,PoisFFT,"D | N",128,9,       0.001708
1,double,uniform,PoisFFT,"D | N",128,10,       0.001710
1,double,uniform,PoisFFT,"D | N",128,11,       0.001708
1,double,uniform,PoisFFT,"D | N",128,12,       0.001713
1,double,uniform,PoisFFT,"D | N",128,13,       0.001705
1,double,uniform,PoisFFT,"D | N",128,14,       0.001708
1,double,uniform,PoisFFT,"D | N",128,15,       0.001710
1,double,uniform,PoisFFT,"D | N",128,16,       0.001708
1,double,uniform,PoisFFT,"D | N",128,17,       0.001708
1,double,uniform,PoisFFT,"D | N",128,18,       0.001704
1,double,uniform,PoisFFT,"D | N",128,19,       0.001708
1,double,uniform,PoisFFT,"D | N",192,0,       0.003277
1,double,uniform,PoisFFT,"D | N",192,1,       0.002870
1,double,uniform,PoisFFT,"D | N",192,2,       0.002824
1,double,uniform,PoisFFT,"D | N",192,3,       0.002774
1,double,uniform,PoisFFT,"D | N",192,4,       0.002787
1,double,uniform,PoisFFT,"D | N",192,5,       0.002788
1,double,uniform,PoisFFT,"D | N",192,6,       0.002788
1,double,uniform,PoisFFT,"D | N",192,7,       0.002783
1,double,uniform,PoisFFT,"D | N",192,8,       0.002781
1,double,uniform,PoisFFT,"D | N",192,9,       0.002787
1,double,uniform,PoisFFT,"D | N",192,10,       0.002777
1,double,uniform,PoisFFT,"D | N",192,11,       0.002764
1,double,uniform,PoisFFT,"D | N",192,12,       0.002766
1,double,uniform,PoisFFT,"D | N",192,13,       0.002778
1,double,uniform,PoisFFT,"D | N",192,14,       0.002787
1,double,uniform,PoisFFT,"D | N",192,15,       0.002786
1,double,uniform,PoisFFT,"D | N",192,16,       0.002762
1,double,uniform,PoisFFT,"D | N",192,17,       0.002777
1,double,uniform,PoisFFT,"D | N",192,18,       0.019229
1,double,uniform,PoisFFT,"D | N",192,19,       0.002985
1,double,uniform,PoisFFT,"D | N",256,0,       0.004088
1,double,uniform,PoisFFT,"D | N",256,1,       0.003800
1,double,uniform,PoisFFT,"D | N",256,2,       0.003694
1,double,uniform,PoisFFT,"D | N",256,3,       0.003666
1,double,uniform,PoisFFT,"D | N",256,4,       0.003641
1,double,uniform,PoisFFT,"D | N",256,5,       0.003666
1,double,uniform,PoisFFT,"D | N",256,6,       0.014010
1,double,uniform,PoisFFT,"D | N",256,7,       0.003657
1,double,uniform,PoisFFT,"D | N",256,8,       0.003698
1,double,uniform,PoisFFT,"D | N",256,9,       0.004027
1,double,uniform,PoisFFT,"D | N",256,10,       0.003916
1,double,uniform,PoisFFT,"D | N",256,11,       0.003947
1,double,uniform,PoisFFT,"D | N",256,12,       0.003961
1,double,uniform,PoisFFT,"D | N",256,13,       0.003934
1,double,uniform,PoisFFT,"D | N",256,14,       0.003961
1,double,uniform,PoisFFT,"D | N",256,15,       0.005431
1,double,uniform,PoisFFT,"D | N",256,16,       0.003477
1,double,uniform,PoisFFT,"D | N",256,17,       0.003456
1,double,uniform,PoisFFT,"D | N",256,18,       0.003452
1,double,uniform,PoisFFT,"D | N",256,19,       0.003462
1,double,uniform,PoisFFT,"D | N",320,0,       0.005686
1,double,uniform,PoisFFT,"D | N",320,1,       0.005158
1,double,uniform,PoisFFT,"D | N",320,2,       0.005026
1,double,uniform,PoisFFT,"D | N",320,3,       0.004924
1,double,uniform,PoisFFT,"D | N",320,4,       0.004975
1,double,uniform,PoisFFT,"D | N",320,5,       0.004993
1,double,uniform,PoisFFT,"D | N",320,6,       0.004948
1,double,uniform,PoisFFT,"D | N",320,7,       0.004938
1,double,uniform,PoisFFT,"D | N",320,8,       0.004917
1,double,uniform,PoisFFT,"D | N",320,9,       0.004957
