dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       2.097456
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.712710
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.665853
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.653405
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.666218
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.683119
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.654812
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.671615
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.700924
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.675054
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.679168
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.684990
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.648110
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.669052
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.689509
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.686977
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.689352
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.666959
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.707655
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.677876
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       3.612498
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       3.292109
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       3.364977
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       3.150641
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       3.348156
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       3.150833
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       3.286311
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       3.169700
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       3.456713
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       3.302550
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       3.411084
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       3.380846
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,12,       3.219373
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,13,       3.207685
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,14,       3.168245
