dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,0,      14.976637
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,1,      17.948420
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,2,      18.085084
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,3,      17.613406
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,4,       6.200727
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,5,       0.671595
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,6,       0.675553
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,7,       0.691165
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       0.661870
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.693774
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.679117
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.674661
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.687218
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.670296
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.691612
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.657350
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.690831
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.692424
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.682823
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.650820
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,0,       3.638487
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,1,       3.280823
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,2,       3.300388
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,3,       3.275558
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,4,       3.296975
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,5,       3.189892
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,6,       3.189062
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,7,       3.142481
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,8,       3.239075
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,9,       3.258305
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,10,       3.392140
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,11,       3.333879
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,12,       3.200425
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,13,       3.557123
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,14,       3.423917
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,15,       3.406948
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,16,       3.329853
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,17,       3.185786
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,18,       3.306978
3,float,uniform,PoisFFT,"P | P | P | P | D | N",128,19,       3.233294
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,0,      13.520374
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,1,      13.074781
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,2,      13.199542
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,3,      13.157379
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,4,      13.227939
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,5,      13.084977
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,6,      13.039638
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,7,      13.225112
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,8,      13.048595
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,9,      13.139259
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,10,      13.280219
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,11,      13.020154
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,12,      13.288816
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,13,      13.232122
3,float,uniform,PoisFFT,"P | P | P | P | D | N",192,14,      13.054441
