dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,3,     371.617574
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,4,     374.507968
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,5,     374.354498
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,6,     373.265823
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,7,     371.329130
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,8,     373.942598
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,9,     372.607594
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,10,     369.974363
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,11,     371.105150
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,12,     370.319857
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,13,     372.556065
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,14,     371.491230
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,15,     374.063408
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,16,     364.187772
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,17,     365.672246
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,18,     365.978707
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,19,     365.073125
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,0,     370.003329
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,1,     374.573194
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,2,     370.738859
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,3,     371.472045
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,4,     366.944045
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,5,     371.389799
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,6,     371.387174
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,7,     375.355564
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,8,     371.769338
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,9,     373.537665
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,10,     376.205584
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,11,     369.822739
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,12,     372.904952
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,13,     369.811022
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,14,     378.753860
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,15,     375.298444
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,16,     375.858457
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,17,     373.666458
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,18,     367.578356
3,double,uniform,PoisFFT,"D | D | D | D | N | D",384,19,     374.844778
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,0,    1421.646915
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,1,    1402.395433
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,2,    1410.928987
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,3,    1404.189511
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,4,    1411.890297
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,5,    1410.061811
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,6,    1415.387778
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,7,    1415.633722
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,8,    1413.982175
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,9,    1417.632851
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,10,    1410.932841
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,11,    1414.495884
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,12,    1414.735916
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,13,    1412.249055
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,14,    1412.566706
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,15,    1402.969362
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,16,    1413.271792
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,17,    1405.431134
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,18,    1406.589320
3,double,uniform,PoisFFT,"D | D | D | D | N | D",448,19,    1410.306723
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,0,    1099.269331
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,1,    1100.988508
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,2,    1115.288424
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,3,    1114.044507
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,4,    1101.195368
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,5,    1105.907867
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,6,    1106.417742
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,7,    1111.529182
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,8,    1109.900165
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,9,    1108.863067
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,10,    1098.587253
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,11,    1114.566688
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,12,    1099.393386
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,13,    1036.429416
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,14,    1040.750499
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,15,    1044.903598
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,16,    1025.776457
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,17,     974.533081
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,18,     968.611485
3,double,uniform,PoisFFT,"D | D | D | D | N | D",512,19,     971.890449
