dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,0,       1.574767
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,1,       0.795796
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,2,       0.786743
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,3,       0.758858
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,4,       0.768661
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,5,       0.769461
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,6,       0.749877
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,7,       0.754260
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,8,       0.776292
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,9,       0.753538
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,10,       0.748735
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,11,       0.759590
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,12,       0.763267
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,13,       0.767965
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,14,       0.778568
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,15,       0.759202
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,16,       0.752791
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,17,       0.766422
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,18,       0.770696
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,19,       0.758169
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,0,       6.575817
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,1,       5.381120
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,2,       5.562829
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,3,       5.382121
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,4,       5.376756
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,5,       5.401073
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,6,       5.348550
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,7,       5.350235
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,8,       5.357232
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,9,       5.404073
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,10,       5.397984
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,11,       5.329288
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,12,       5.341471
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,13,       5.367298
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,14,       5.417471
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,15,       5.390466
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,16,       5.350847
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,17,       5.366121
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,18,       5.409825
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,19,       5.361626
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,0,      23.278281
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,1,      22.499746
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,2,      22.498833
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,3,      22.273709
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,4,      22.478115
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,5,      22.314105
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,6,      22.511678
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,7,      22.339472
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,8,      22.248091
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,9,      22.347970
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,10,      22.688987
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,11,      22.401766
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,12,      22.443698
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,13,      22.204545
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,14,      22.280953
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,15,      22.282699
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,16,      22.221954
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,17,      22.576151
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,18,      22.271294
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,19,      22.466321
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,0,      69.859492
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,1,      68.101922
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,2,      68.245533
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,3,      68.049314
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,4,      68.268129
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,5,      67.920936
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,6,      68.207002
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,7,      67.869381
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,8,      68.107590
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,9,      68.629358
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,10,      68.403517
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,11,      68.316623
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,12,      67.792446
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,13,      67.894432
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,14,      67.969867
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,15,      68.521466
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,16,      68.356418
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,17,      68.174522
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,18,      67.868132
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,19,      67.815764
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,0,     136.856555
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,1,     135.690455
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,2,     134.841635
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,3,     135.301814
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,4,     144.041881
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,5,     135.094767
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,6,     135.137943
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,7,     135.632743
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,8,     134.872884
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,9,     135.763393
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,10,     135.455044
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,11,     134.976609
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,12,     135.550992
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,13,     135.072813
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,14,     135.041585
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,15,     135.657602
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,16,     135.213837
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,17,     135.422980
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,18,     136.226748
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,19,     135.487813
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,0,     272.476169
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,1,     305.611416
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,2,     266.655394
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,3,     266.194991
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,4,     265.878917
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,5,     266.131643
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,6,     267.028304
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,7,     266.159339
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,8,     266.436659
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,9,     266.470837
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,10,     266.866847
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,11,     266.689785
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,12,     267.352718
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,13,     264.766289
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,14,     269.006404
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,15,     266.562560
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,16,     267.112616
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,17,     266.571529
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,18,     320.751170
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,19,     267.135635
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,0,     402.603010
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,1,     481.077188
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,2,     486.870774
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,3,     427.897509
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,4,     460.043617
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,5,     489.755022
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,6,     492.576013
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,7,     433.347263
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,8,     461.492421
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,9,     429.656802
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,10,     476.393410
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,11,     491.221534
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,12,     479.070659
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,13,     407.478328
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,14,     491.934994
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,15,     490.656278
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,16,     432.196861
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,17,     429.191475
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,18,     397.084691
3,double,uniform,PoisFFT,"P | P | P | P | P | P",448,19,     402.821837
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,0,     672.490842
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,1,     654.731820
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,2,     675.238803
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,3,     652.617879
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,4,     646.536063
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,5,     645.259154
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,6,     646.015980
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,7,     647.382282
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,8,     658.600103
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,9,     646.661417
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,10,     646.155376
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,11,     648.243769
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,12,     647.547198
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,13,     646.662363
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,14,     646.945311
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,15,     647.428781
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,16,     661.475766
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,17,     647.627922
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,18,     647.876692
3,double,uniform,PoisFFT,"P | P | P | P | P | P",512,19,     648.094398
