dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,      16.026176
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,      15.554871
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,      16.501061
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,      17.384208
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,      17.028639
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,      16.938505
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,      17.242841
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       1.155414
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.685100
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.679375
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.691939
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.719351
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.697625
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.710761
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.721705
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.714036
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.703001
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.717535
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.682629
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.716234
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,0,       4.807091
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,1,       4.498197
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,2,       4.555871
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,3,       4.428281
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,4,       4.409381
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,5,       4.424498
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,6,       4.449384
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,7,       4.449726
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,8,       4.603067
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,9,       4.510517
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,10,       5.823629
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,11,       4.539838
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,12,       4.375797
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,13,       4.401911
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,14,       4.404144
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,15,       4.395628
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,16,       4.405861
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,17,       4.389128
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,18,       4.372088
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",128,19,       4.594176
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,0,      18.893547
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,1,      18.209147
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",192,2,      18.562525
