dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,15,      16.313158
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,16,      16.117445
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,17,      16.286947
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,18,      16.259885
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,19,      16.280135
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,0,      51.392846
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,1,      50.969973
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,2,      51.207673
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,3,      53.122321
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,4,      51.203736
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,5,      51.602002
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,6,      51.229665
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,7,      51.435288
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,8,      51.391600
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,9,      51.531522
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,10,      51.296183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,11,      51.515616
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,12,      49.448923
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,13,      47.095669
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,14,      46.886724
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,15,      47.143729
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,16,      47.643852
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,17,      47.516713
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,18,      47.666858
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,19,      48.249845
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,0,      77.450667
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,1,      77.149128
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",320,2,      77.142068
