dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,       2.069101
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,       0.703786
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,       0.692399
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,       0.709906
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,       0.687392
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,       0.685151
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,       0.693636
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,       0.688041
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       0.707432
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.702970
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.683012
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.656867
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.714303
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.663317
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.675480
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.663547
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.662963
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.652906
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.668938
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.693479
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,0,       3.583791
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,1,       3.542320
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,2,       3.300566
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,3,       3.311086
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,4,       3.327092
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,5,       3.430817
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,6,       3.301050
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,7,       3.536713
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,8,       3.277907
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,9,       3.518712
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,10,       3.490710
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,11,       3.456813
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,12,       3.291804
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,13,       3.395197
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,14,       3.406205
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,15,       3.382210
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,16,       3.266404
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,17,       3.510113
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,18,       3.372332
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",128,19,       3.275100
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,0,      13.769285
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,1,      13.091960
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,2,      12.954116
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,3,      12.888476
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,4,      12.984176
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,5,      12.936705
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,6,      13.059143
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,7,      12.873864
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,8,      13.231580
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,9,      12.977116
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,10,      13.015142
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,11,      12.743708
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,12,      12.849125
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,13,      12.825894
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,14,      12.994773
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,15,      12.944628
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,16,      13.052455
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,17,      13.072931
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,18,      12.968509
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,19,      13.227886
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,0,      77.508077
