dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,0,       1.843837
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,1,       1.553954
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,2,       1.571931
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,3,       1.578050
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,4,       1.532880
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,5,       1.540951
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,6,       1.544042
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,7,       1.528202
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,8,       1.520204
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,9,       1.526714
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,10,       1.553858
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,11,       1.530635
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,12,       1.507372
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,13,       1.579199
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,14,       1.504513
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,15,       1.572319
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,16,       1.592614
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,17,       1.556176
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,18,       1.570671
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,19,       1.518355
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,0,      19.237272
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,1,      19.547652
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,2,      19.543329
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,3,      19.007907
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,4,      19.627749
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,5,      19.617531
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,6,      19.016039
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,7,      19.065735
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,8,      18.822256
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,9,      19.529769
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,10,      19.498751
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,11,      18.816309
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,12,      19.622781
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,13,      19.523088
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,14,      18.869807
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,15,      19.533414
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,16,      19.557616
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,17,      18.838181
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,18,      19.575291
3,double,uniform,PoisFFT,"D | D | D | D | D | D",128,19,      19.057548
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,0,     136.953955
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,1,     136.907909
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,2,     136.613314
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,3,     136.821118
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,4,     136.595975
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,5,     136.621079
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,6,     137.197892
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,7,     136.643206
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,8,     136.778461
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,9,     136.400822
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,10,     136.406357
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,11,     136.256386
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,12,     136.489379
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,13,     139.919874
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,14,     136.536098
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,15,     136.622153
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,16,     136.202686
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,17,     136.402361
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,18,     136.459081
3,double,uniform,PoisFFT,"D | D | D | D | D | D",192,19,     136.230627
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,0,     347.245401
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,1,     346.058140
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,2,     347.700507
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,3,     347.739701
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,4,     346.938712
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,5,     391.309955
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,6,     347.610746
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,7,     356.780445
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,8,     344.984451
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,9,     351.985804
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,10,     342.432771
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,11,     344.002821
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,12,     379.381567
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,13,     344.487392
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,14,     344.168978
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,15,     344.475191
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,16,     343.064341
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,17,     344.301134
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,18,     342.227305
3,double,uniform,PoisFFT,"D | D | D | D | D | D",256,19,     344.700438
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,0,     518.947240
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,1,     532.142933
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,2,     537.947948
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,3,     527.064807
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,4,     525.923446
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,5,     520.542587
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,6,     515.084424
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,7,     521.324882
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,8,     534.849346
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,9,     528.321324
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,10,     524.201989
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,11,     518.017317
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,12,     542.573503
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,13,     521.104831
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,14,     517.405698
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,15,     525.805173
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,16,     534.716467
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,17,     529.938227
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,18,     531.005639
3,double,uniform,PoisFFT,"D | D | D | D | D | D",320,19,     566.882242
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,0,     377.186602
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,1,     375.639576
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,2,     419.952523
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,3,     370.185941
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,4,     375.372260
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,5,     365.207177
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,6,     371.110276
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,7,     371.059086
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,8,     410.850726
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,9,     444.009146
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,10,     441.652650
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,11,     386.901441
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,12,     359.897861
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,13,     438.549856
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,14,     396.819429
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,15,     407.787949
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,16,     402.327930
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,17,     433.843187
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,18,     369.727530
3,double,uniform,PoisFFT,"D | D | D | D | D | D",384,19,     361.125772
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,0,    2010.690897
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,1,    2048.415101
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,2,    1933.301436
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,3,    1927.799871
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,4,    1924.787358
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,5,    1920.034322
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,6,    1925.518814
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,7,    1921.571222
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,8,    1910.820583
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,9,    1919.568086
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,10,    1917.731688
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,11,    1906.450745
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,12,    1910.883726
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,13,    2093.999584
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,14,    1908.073131
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,15,    1947.388895
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,16,    1898.596404
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,17,    1904.097047
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,18,    1906.757502
3,double,uniform,PoisFFT,"D | D | D | D | D | D",448,19,    1896.246147
3,double,uniform,PoisFFT,"D | D | D | D | D | D",512,0,    1014.522307
3,double,uniform,PoisFFT,"D | D | D | D | D | D",512,1,    1016.298516
3,double,uniform,PoisFFT,"D | D | D | D | D | D",512,2,    1007.015617
3,double,uniform,PoisFFT,"D | D | D | D | D | D",512,3,    1006.113885
3,double,uniform,PoisFFT,"D | D | D | D | D | D",512,4,    1000.790498
3,double,uniform,PoisFFT,"D | D | D | D | D | D",512,5,    1002.012877
3,double,uniform,PoisFFT,"D | D | D | D | D | D",512,6,     998.476809
3,double,uniform,PoisFFT,"D | D | D | D | D | D",512,7,     997.792367
3,double,uniform,PoisFFT,"D | D | D | D | D | D",512,8,     998.863716
