dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"Ns | Ns",320,10,       0.005121
1,double,uniform,PoisFFT,"Ns | Ns",320,11,       0.021514
1,double,uniform,PoisFFT,"Ns | Ns",320,12,       0.005565
1,double,uniform,PoisFFT,"Ns | Ns",320,13,       0.005472
1,double,uniform,PoisFFT,"Ns | Ns",320,14,       0.005457
1,double,uniform,PoisFFT,"Ns | Ns",320,15,       0.005533
1,double,uniform,PoisFFT,"Ns | Ns",320,16,       0.005475
1,double,uniform,PoisFFT,"Ns | Ns",320,17,       0.005546
1,double,uniform,PoisFFT,"Ns | Ns",320,18,       0.005497
1,double,uniform,PoisFFT,"Ns | Ns",320,19,       0.005558
1,double,uniform,PoisFFT,"Ns | Ns",384,0,       0.006471
1,double,uniform,PoisFFT,"Ns | Ns",384,1,       0.005702
1,double,uniform,PoisFFT,"Ns | Ns",384,2,       0.005680
1,double,uniform,PoisFFT,"Ns | Ns",384,3,       0.005671
1,double,uniform,PoisFFT,"Ns | Ns",384,4,       0.005569
1,double,uniform,PoisFFT,"Ns | Ns",384,5,       0.005619
1,double,uniform,PoisFFT,"Ns | Ns",384,6,       0.005671
1,double,uniform,PoisFFT,"Ns | Ns",384,7,       0.005589
1,double,uniform,PoisFFT,"Ns | Ns",384,8,       0.005612
1,double,uniform,PoisFFT,"Ns | Ns",384,9,       0.005565
1,double,uniform,PoisFFT,"Ns | Ns",384,10,       0.005647
1,double,uniform,PoisFFT,"Ns | Ns",384,11,       0.006006
1,double,uniform,PoisFFT,"Ns | Ns",384,12,       0.005968
1,double,uniform,PoisFFT,"Ns | Ns",384,13,       0.006006
1,double,uniform,PoisFFT,"Ns | Ns",384,14,       0.006042
1,double,uniform,PoisFFT,"Ns | Ns",384,15,       0.005940
1,double,uniform,PoisFFT,"Ns | Ns",384,16,       0.005950
1,double,uniform,PoisFFT,"Ns | Ns",384,17,       0.006049
1,double,uniform,PoisFFT,"Ns | Ns",384,18,       0.005994
1,double,uniform,PoisFFT,"Ns | Ns",384,19,       0.006000
1,double,uniform,PoisFFT,"Ns | Ns",448,0,       0.007743
1,double,uniform,PoisFFT,"Ns | Ns",448,1,       0.007223
1,double,uniform,PoisFFT,"Ns | Ns",448,2,       0.007151
1,double,uniform,PoisFFT,"Ns | Ns",448,3,       0.007083
1,double,uniform,PoisFFT,"Ns | Ns",448,4,       0.007111
1,double,uniform,PoisFFT,"Ns | Ns",448,5,       0.007079
1,double,uniform,PoisFFT,"Ns | Ns",448,6,       0.007084
1,double,uniform,PoisFFT,"Ns | Ns",448,7,       0.007066
1,double,uniform,PoisFFT,"Ns | Ns",448,8,       0.007090
1,double,uniform,PoisFFT,"Ns | Ns",448,9,       0.007093
1,double,uniform,PoisFFT,"Ns | Ns",448,10,       0.007106
1,double,uniform,PoisFFT,"Ns | Ns",448,11,       0.007084
1,double,uniform,PoisFFT,"Ns | Ns",448,12,       0.007101
1,double,uniform,PoisFFT,"Ns | Ns",448,13,       0.007055
1,double,uniform,PoisFFT,"Ns | Ns",448,14,       0.007072
1,double,uniform,PoisFFT,"Ns | Ns",448,15,       0.007675
1,double,uniform,PoisFFT,"Ns | Ns",448,16,       0.007601
1,double,uniform,PoisFFT,"Ns | Ns",448,17,       0.007606
1,double,uniform,PoisFFT,"Ns | Ns",448,18,       0.007598
1,double,uniform,PoisFFT,"Ns | Ns",448,19,       0.007608
1,double,uniform,PoisFFT,"Ns | Ns",512,0,       0.008278
1,double,uniform,PoisFFT,"Ns | Ns",512,1,       0.007627
1,double,uniform,PoisFFT,"Ns | Ns",512,2,       0.007555
1,double,uniform,PoisFFT,"Ns | Ns",512,3,       0.007530
1,double,uniform,PoisFFT,"Ns | Ns",512,4,       0.007556
1,double,uniform,PoisFFT,"Ns | Ns",512,5,       0.008137
1,double,uniform,PoisFFT,"Ns | Ns",512,6,       0.007539
1,double,uniform,PoisFFT,"Ns | Ns",512,7,       0.007517
1,double,uniform,PoisFFT,"Ns | Ns",512,8,       0.024110
1,double,uniform,PoisFFT,"Ns | Ns",512,9,       0.008104
1,double,uniform,PoisFFT,"Ns | Ns",512,10,       0.008150
1,double,uniform,PoisFFT,"Ns | Ns",512,11,       0.008055
1,double,uniform,PoisFFT,"Ns | Ns",512,12,       0.008026
1,double,uniform,PoisFFT,"Ns | Ns",512,13,       0.008035
1,double,uniform,PoisFFT,"Ns | Ns",512,14,       0.008035
1,double,uniform,PoisFFT,"Ns | Ns",512,15,       0.008027
1,double,uniform,PoisFFT,"Ns | Ns",512,16,       0.008055
1,double,uniform,PoisFFT,"Ns | Ns",512,17,       0.024655
1,double,uniform,PoisFFT,"Ns | Ns",512,18,       0.008347
1,double,uniform,PoisFFT,"Ns | Ns",512,19,       0.008397
