dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"P | P",64,0,       0.001313
1,double,uniform,PoisFFT,"P | P",64,1,       0.000681
1,double,uniform,PoisFFT,"P | P",64,2,       0.000552
1,double,uniform,PoisFFT,"P | P",64,3,       0.000532
1,double,uniform,PoisFFT,"P | P",64,4,       0.000530
1,double,uniform,PoisFFT,"P | P",64,5,       0.000533
1,double,uniform,PoisFFT,"P | P",64,6,       0.000529
1,double,uniform,PoisFFT,"P | P",64,7,       0.000533
1,double,uniform,PoisFFT,"P | P",64,8,       0.000534
1,double,uniform,PoisFFT,"P | P",64,9,       0.000534
1,double,uniform,PoisFFT,"P | P",64,10,       0.000537
1,double,uniform,PoisFFT,"P | P",64,11,       0.000537
1,double,uniform,PoisFFT,"P | P",64,12,       0.000536
1,double,uniform,PoisFFT,"P | P",64,13,       0.000535
1,double,uniform,PoisFFT,"P | P",64,14,       0.000529
1,double,uniform,PoisFFT,"P | P",64,15,       0.000534
1,double,uniform,PoisFFT,"P | P",64,16,       0.000533
1,double,uniform,PoisFFT,"P | P",64,17,       0.000532
1,double,uniform,PoisFFT,"P | P",64,18,       0.000529
1,double,uniform,PoisFFT,"P | P",64,19,       0.000532
1,double,uniform,PoisFFT,"P | P",128,0,       0.002001
1,double,uniform,PoisFFT,"P | P",128,1,       0.001284
1,double,uniform,PoisFFT,"P | P",128,2,       0.001133
1,double,uniform,PoisFFT,"P | P",128,3,       0.001230
1,double,uniform,PoisFFT,"P | P",128,4,       0.001172
1,double,uniform,PoisFFT,"P | P",128,5,       0.001182
1,double,uniform,PoisFFT,"P | P",128,6,       0.001197
1,double,uniform,PoisFFT,"P | P",128,7,       0.001166
1,double,uniform,PoisFFT,"P | P",128,8,       0.001157
1,double,uniform,PoisFFT,"P | P",128,9,       0.001181
1,double,uniform,PoisFFT,"P | P",128,10,       0.001191
1,double,uniform,PoisFFT,"P | P",128,11,       0.001151
1,double,uniform,PoisFFT,"P | P",128,12,       0.001167
1,double,uniform,PoisFFT,"P | P",128,13,       0.001176
1,double,uniform,PoisFFT,"P | P",128,14,       0.001167
1,double,uniform,PoisFFT,"P | P",128,15,       0.001150
1,double,uniform,PoisFFT,"P | P",128,16,       0.001186
1,double,uniform,PoisFFT,"P | P",128,17,       0.001183
1,double,uniform,PoisFFT,"P | P",128,18,       0.001162
1,double,uniform,PoisFFT,"P | P",128,19,       0.001152
1,double,uniform,PoisFFT,"P | P",192,0,       0.002666
1,double,uniform,PoisFFT,"P | P",192,1,       0.001870
1,double,uniform,PoisFFT,"P | P",192,2,       0.001779
1,double,uniform,PoisFFT,"P | P",192,3,       0.001735
1,double,uniform,PoisFFT,"P | P",192,4,       0.001754
1,double,uniform,PoisFFT,"P | P",192,5,       0.001751
1,double,uniform,PoisFFT,"P | P",192,6,       0.001736
1,double,uniform,PoisFFT,"P | P",192,7,       0.001732
1,double,uniform,PoisFFT,"P | P",192,8,       0.001739
1,double,uniform,PoisFFT,"P | P",192,9,       0.001751
1,double,uniform,PoisFFT,"P | P",192,10,       0.001752
1,double,uniform,PoisFFT,"P | P",192,11,       0.001733
1,double,uniform,PoisFFT,"P | P",192,12,       0.001727
1,double,uniform,PoisFFT,"P | P",192,13,       0.001741
1,double,uniform,PoisFFT,"P | P",192,14,       0.001739
1,double,uniform,PoisFFT,"P | P",192,15,       0.001754
1,double,uniform,PoisFFT,"P | P",192,16,       0.001740
1,double,uniform,PoisFFT,"P | P",192,17,       0.001767
1,double,uniform,PoisFFT,"P | P",192,18,       0.001727
1,double,uniform,PoisFFT,"P | P",192,19,       0.001743
1,double,uniform,PoisFFT,"P | P",256,0,       0.002972
1,double,uniform,PoisFFT,"P | P",256,1,       0.002152
1,double,uniform,PoisFFT,"P | P",256,2,       0.002124
1,double,uniform,PoisFFT,"P | P",256,3,       0.002114
1,double,uniform,PoisFFT,"P | P",256,4,       0.002085
1,double,uniform,PoisFFT,"P | P",256,5,       0.002104
1,double,uniform,PoisFFT,"P | P",256,6,       0.002086
1,double,uniform,PoisFFT,"P | P",256,7,       0.002086
1,double,uniform,PoisFFT,"P | P",256,8,       0.002105
1,double,uniform,PoisFFT,"P | P",256,9,       0.002088
1,double,uniform,PoisFFT,"P | P",256,10,       0.002090
1,double,uniform,PoisFFT,"P | P",256,11,       0.002096
1,double,uniform,PoisFFT,"P | P",256,12,       0.002101
1,double,uniform,PoisFFT,"P | P",256,13,       0.002077
1,double,uniform,PoisFFT,"P | P",256,14,       0.002091
1,double,uniform,PoisFFT,"P | P",256,15,       0.005199
1,double,uniform,PoisFFT,"P | P",256,16,       0.004809
1,double,uniform,PoisFFT,"P | P",256,17,       0.004096
1,double,uniform,PoisFFT,"P | P",256,18,       0.004793
1,double,uniform,PoisFFT,"P | P",256,19,       0.004775
1,double,uniform,PoisFFT,"P | P",320,0,       0.004180
1,double,uniform,PoisFFT,"P | P",320,1,       0.003141
1,double,uniform,PoisFFT,"P | P",320,2,       0.002927
1,double,uniform,PoisFFT,"P | P",320,3,       0.002869
1,double,uniform,PoisFFT,"P | P",320,4,       0.002920
1,double,uniform,PoisFFT,"P | P",320,5,       0.002901
1,double,uniform,PoisFFT,"P | P",320,6,       0.002876
1,double,uniform,PoisFFT,"P | P",320,7,       0.002836
1,double,uniform,PoisFFT,"P | P",320,8,       0.002831
1,double,uniform,PoisFFT,"P | P",320,9,       0.002837
1,double,uniform,PoisFFT,"P | P",320,10,       0.002873
1,double,uniform,PoisFFT,"P | P",320,11,       0.002872
1,double,uniform,PoisFFT,"P | P",320,12,       0.002815
1,double,uniform,PoisFFT,"P | P",320,13,       0.002900
1,double,uniform,PoisFFT,"P | P",320,14,       0.019365
1,double,uniform,PoisFFT,"P | P",320,15,       0.003103
1,double,uniform,PoisFFT,"P | P",320,16,       0.003089
1,double,uniform,PoisFFT,"P | P",320,17,       0.003081
1,double,uniform,PoisFFT,"P | P",320,18,       0.003078
1,double,uniform,PoisFFT,"P | P",320,19,       0.003089
1,double,uniform,PoisFFT,"P | P",384,0,       0.004229
1,double,uniform,PoisFFT,"P | P",384,1,       0.003327
1,double,uniform,PoisFFT,"P | P",384,2,       0.003246
1,double,uniform,PoisFFT,"P | P",384,3,       0.003260
1,double,uniform,PoisFFT,"P | P",384,4,       0.003216
1,double,uniform,PoisFFT,"P | P",384,5,       0.003204
1,double,uniform,PoisFFT,"P | P",384,6,       0.003225
1,double,uniform,PoisFFT,"P | P",384,7,       0.003219
