dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,      18.620624
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,      18.592884
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,      18.519105
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,      18.523894
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,19,      18.516392
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,0,      52.876791
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,1,      51.998316
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,2,      51.938353
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,3,      52.122347
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,4,      51.814026
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,5,      52.056747
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,6,      51.889167
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,7,      52.253758
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,8,      52.109638
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,9,      51.941239
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,10,      51.988646
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,11,      51.914889
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,12,      51.997243
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,13,      51.960080
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,14,      52.195147
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,15,      52.068448
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,16,      52.007592
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,17,      52.223679
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,18,      52.088183
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,19,      52.037442
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,0,      96.386428
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",320,1,      94.195740
