dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,0,       1.568826
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,1,       0.611664
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,2,       0.587255
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,3,       0.583963
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,4,       0.591232
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,5,       0.571563
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,6,       0.599835
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.584598
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.586108
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.577091
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.576309
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.606779
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.597102
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.584484
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.571095
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.593082
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.577257
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.589327
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.583821
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.583841
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,0,       4.787140
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,1,       4.419165
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,2,       4.555588
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,3,       4.563059
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,4,       4.537177
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,5,       4.440501
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,6,       4.488409
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,7,       4.463483
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,8,       4.407695
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,9,       4.433174
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,10,       4.394863
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,11,       4.497274
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,12,       4.632770
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,13,       6.254418
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,14,       5.464360
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,15,       4.399052
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,16,       4.449751
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,17,       4.465534
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,18,       4.418106
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,19,       4.489548
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,0,      22.385745
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,1,      21.850416
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,2,      22.418584
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,3,      21.524332
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,4,      22.456482
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,5,      22.397000
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,6,      22.182170
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,7,      21.250503
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,8,      21.953534
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,9,      21.468854
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,10,      22.217477
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,11,      21.929190
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,12,      22.628905
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,13,      22.195899
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,14,      21.577907
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,15,      22.894221
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,16,      23.474043
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,17,      21.713112
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,18,      21.470411
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,19,      21.338166
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,0,     102.532947
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,1,     102.555265
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,2,     113.488130
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,3,     117.342415
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,4,     111.120973
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,5,     105.832875
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,6,     109.883007
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,7,     102.846892
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,8,     107.619678
