dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"P | P | P | P",64,0,       0.035691
2,float,uniform,PoisFFT,"P | P | P | P",64,1,       0.029781
2,float,uniform,PoisFFT,"P | P | P | P",64,2,       0.029751
2,float,uniform,PoisFFT,"P | P | P | P",64,3,       0.029780
2,float,uniform,PoisFFT,"P | P | P | P",64,4,       0.029580
2,float,uniform,PoisFFT,"P | P | P | P",64,5,       0.029624
2,float,uniform,PoisFFT,"P | P | P | P",64,6,       0.029675
2,float,uniform,PoisFFT,"P | P | P | P",64,7,       0.033405
2,float,uniform,PoisFFT,"P | P | P | P",64,8,       0.029605
2,float,uniform,PoisFFT,"P | P | P | P",64,9,       0.029652
2,float,uniform,PoisFFT,"P | P | P | P",64,10,       0.068328
2,float,uniform,PoisFFT,"P | P | P | P",64,11,       0.029673
2,float,uniform,PoisFFT,"P | P | P | P",64,12,       0.029677
2,float,uniform,PoisFFT,"P | P | P | P",64,13,       0.029520
2,float,uniform,PoisFFT,"P | P | P | P",64,14,       0.029713
2,float,uniform,PoisFFT,"P | P | P | P",64,15,       0.029631
2,float,uniform,PoisFFT,"P | P | P | P",64,16,       0.029713
2,float,uniform,PoisFFT,"P | P | P | P",64,17,       0.029557
2,float,uniform,PoisFFT,"P | P | P | P",64,18,       0.029603
2,float,uniform,PoisFFT,"P | P | P | P",64,19,       0.029550
2,float,uniform,PoisFFT,"P | P | P | P",128,0,       0.143034
2,float,uniform,PoisFFT,"P | P | P | P",128,1,       0.141319
2,float,uniform,PoisFFT,"P | P | P | P",128,2,       0.144486
2,float,uniform,PoisFFT,"P | P | P | P",128,3,       0.140737
2,float,uniform,PoisFFT,"P | P | P | P",128,4,       0.140681
2,float,uniform,PoisFFT,"P | P | P | P",128,5,       0.140906
2,float,uniform,PoisFFT,"P | P | P | P",128,6,       0.140570
2,float,uniform,PoisFFT,"P | P | P | P",128,7,       0.143514
2,float,uniform,PoisFFT,"P | P | P | P",128,8,       0.140927
2,float,uniform,PoisFFT,"P | P | P | P",128,9,       0.141226
2,float,uniform,PoisFFT,"P | P | P | P",128,10,       0.140684
2,float,uniform,PoisFFT,"P | P | P | P",128,11,       0.140786
2,float,uniform,PoisFFT,"P | P | P | P",128,12,       0.140825
2,float,uniform,PoisFFT,"P | P | P | P",128,13,       0.143414
2,float,uniform,PoisFFT,"P | P | P | P",128,14,       0.140924
2,float,uniform,PoisFFT,"P | P | P | P",128,15,       0.140743
2,float,uniform,PoisFFT,"P | P | P | P",128,16,       0.140370
2,float,uniform,PoisFFT,"P | P | P | P",128,17,       0.140592
2,float,uniform,PoisFFT,"P | P | P | P",128,18,       0.143218
2,float,uniform,PoisFFT,"P | P | P | P",128,19,       0.140830
2,float,uniform,PoisFFT,"P | P | P | P",192,0,       0.363776
2,float,uniform,PoisFFT,"P | P | P | P",192,1,       0.359396
2,float,uniform,PoisFFT,"P | P | P | P",192,2,       0.358725
2,float,uniform,PoisFFT,"P | P | P | P",192,3,       0.358084
2,float,uniform,PoisFFT,"P | P | P | P",192,4,       0.363235
2,float,uniform,PoisFFT,"P | P | P | P",192,5,       0.358245
2,float,uniform,PoisFFT,"P | P | P | P",192,6,       0.362488
2,float,uniform,PoisFFT,"P | P | P | P",192,7,       0.358194
2,float,uniform,PoisFFT,"P | P | P | P",192,8,       0.362405
2,float,uniform,PoisFFT,"P | P | P | P",192,9,       0.357950
2,float,uniform,PoisFFT,"P | P | P | P",192,10,       0.363027
2,float,uniform,PoisFFT,"P | P | P | P",192,11,       0.358307
2,float,uniform,PoisFFT,"P | P | P | P",192,12,       0.361798
2,float,uniform,PoisFFT,"P | P | P | P",192,13,       0.358060
2,float,uniform,PoisFFT,"P | P | P | P",192,14,       0.357708
2,float,uniform,PoisFFT,"P | P | P | P",192,15,       0.384924
2,float,uniform,PoisFFT,"P | P | P | P",192,16,       0.387813
2,float,uniform,PoisFFT,"P | P | P | P",192,17,       0.384641
2,float,uniform,PoisFFT,"P | P | P | P",192,18,       0.384497
2,float,uniform,PoisFFT,"P | P | P | P",192,19,       0.357837
2,float,uniform,PoisFFT,"P | P | P | P",256,0,       0.684652
2,float,uniform,PoisFFT,"P | P | P | P",256,1,       0.672037
2,float,uniform,PoisFFT,"P | P | P | P",256,2,       0.677471
2,float,uniform,PoisFFT,"P | P | P | P",256,3,       0.673091
2,float,uniform,PoisFFT,"P | P | P | P",256,4,       0.672909
2,float,uniform,PoisFFT,"P | P | P | P",256,5,       0.679766
2,float,uniform,PoisFFT,"P | P | P | P",256,6,       0.669535
2,float,uniform,PoisFFT,"P | P | P | P",256,7,       0.671792
2,float,uniform,PoisFFT,"P | P | P | P",256,8,       0.778015
2,float,uniform,PoisFFT,"P | P | P | P",256,9,       0.676149
2,float,uniform,PoisFFT,"P | P | P | P",256,10,       0.662371
2,float,uniform,PoisFFT,"P | P | P | P",256,11,       0.702365
2,float,uniform,PoisFFT,"P | P | P | P",256,12,       0.722877
2,float,uniform,PoisFFT,"P | P | P | P",256,13,       0.667810
2,float,uniform,PoisFFT,"P | P | P | P",256,14,       0.668454
2,float,uniform,PoisFFT,"P | P | P | P",256,15,       0.672425
2,float,uniform,PoisFFT,"P | P | P | P",256,16,       0.675182
2,float,uniform,PoisFFT,"P | P | P | P",256,17,       0.680682
2,float,uniform,PoisFFT,"P | P | P | P",256,18,       0.665198
2,float,uniform,PoisFFT,"P | P | P | P",256,19,       0.674527
2,float,uniform,PoisFFT,"P | P | P | P",320,0,       1.130224
2,float,uniform,PoisFFT,"P | P | P | P",320,1,       1.092298
2,float,uniform,PoisFFT,"P | P | P | P",320,2,       1.092164
2,float,uniform,PoisFFT,"P | P | P | P",320,3,       1.098747
2,float,uniform,PoisFFT,"P | P | P | P",320,4,       1.118033
2,float,uniform,PoisFFT,"P | P | P | P",320,5,       1.105824
2,float,uniform,PoisFFT,"P | P | P | P",320,6,       1.092238
2,float,uniform,PoisFFT,"P | P | P | P",320,7,       1.105169
