dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ds | Ds",64,0,       0.004051
1,float,uniform,PoisFFT,"Ds | Ds",64,1,       0.000933
1,float,uniform,PoisFFT,"Ds | Ds",64,2,       0.000769
1,float,uniform,PoisFFT,"Ds | Ds",64,3,       0.000748
1,float,uniform,PoisFFT,"Ds | Ds",64,4,       0.000747
1,float,uniform,PoisFFT,"Ds | Ds",64,5,       0.000741
1,float,uniform,PoisFFT,"Ds | Ds",64,6,       0.000747
1,float,uniform,PoisFFT,"Ds | Ds",64,7,       0.000747
1,float,uniform,PoisFFT,"Ds | Ds",64,8,       0.000748
1,float,uniform,PoisFFT,"Ds | Ds",64,9,       0.000750
1,float,uniform,PoisFFT,"Ds | Ds",64,10,       0.000747
1,float,uniform,PoisFFT,"Ds | Ds",64,11,       0.000746
1,float,uniform,PoisFFT,"Ds | Ds",64,12,       0.000748
1,float,uniform,PoisFFT,"Ds | Ds",64,13,       0.000748
1,float,uniform,PoisFFT,"Ds | Ds",64,14,       0.000748
1,float,uniform,PoisFFT,"Ds | Ds",64,15,       0.000746
1,float,uniform,PoisFFT,"Ds | Ds",64,16,       0.000745
1,float,uniform,PoisFFT,"Ds | Ds",64,17,       0.000749
1,float,uniform,PoisFFT,"Ds | Ds",64,18,       0.000739
1,float,uniform,PoisFFT,"Ds | Ds",64,19,       0.000747
1,float,uniform,PoisFFT,"Ds | Ds",128,0,       0.001808
1,float,uniform,PoisFFT,"Ds | Ds",128,1,       0.001511
1,float,uniform,PoisFFT,"Ds | Ds",128,2,       0.001515
1,float,uniform,PoisFFT,"Ds | Ds",128,3,       0.001433
1,float,uniform,PoisFFT,"Ds | Ds",128,4,       0.001433
1,float,uniform,PoisFFT,"Ds | Ds",128,5,       0.001434
1,float,uniform,PoisFFT,"Ds | Ds",128,6,       0.001436
1,float,uniform,PoisFFT,"Ds | Ds",128,7,       0.001434
1,float,uniform,PoisFFT,"Ds | Ds",128,8,       0.006402
1,float,uniform,PoisFFT,"Ds | Ds",128,9,       0.001443
