dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ns",64,0,       0.002983
1,float,uniform,PoisFFT,"Ns | Ns",64,1,       0.001089
1,float,uniform,PoisFFT,"Ns | Ns",64,2,       0.000953
1,float,uniform,PoisFFT,"Ns | Ns",64,3,       0.000888
1,float,uniform,PoisFFT,"Ns | Ns",64,4,       0.000875
1,float,uniform,PoisFFT,"Ns | Ns",64,5,       0.000863
1,float,uniform,PoisFFT,"Ns | Ns",64,6,       0.000860
1,float,uniform,PoisFFT,"Ns | Ns",64,7,       0.000858
1,float,uniform,PoisFFT,"Ns | Ns",64,8,       0.000861
1,float,uniform,PoisFFT,"Ns | Ns",64,9,       0.000862
1,float,uniform,PoisFFT,"Ns | Ns",64,10,       0.000855
1,float,uniform,PoisFFT,"Ns | Ns",64,11,       0.000856
1,float,uniform,PoisFFT,"Ns | Ns",64,12,       0.000860
1,float,uniform,PoisFFT,"Ns | Ns",64,13,       0.000854
1,float,uniform,PoisFFT,"Ns | Ns",64,14,       0.000850
1,float,uniform,PoisFFT,"Ns | Ns",64,15,       0.000863
1,float,uniform,PoisFFT,"Ns | Ns",64,16,       0.000860
1,float,uniform,PoisFFT,"Ns | Ns",64,17,       0.000860
1,float,uniform,PoisFFT,"Ns | Ns",64,18,       0.000856
1,float,uniform,PoisFFT,"Ns | Ns",64,19,       0.000853
1,float,uniform,PoisFFT,"Ns | Ns",128,0,       0.001895
1,float,uniform,PoisFFT,"Ns | Ns",128,1,       0.001533
1,float,uniform,PoisFFT,"Ns | Ns",128,2,       0.001468
1,float,uniform,PoisFFT,"Ns | Ns",128,3,       0.001468
1,float,uniform,PoisFFT,"Ns | Ns",128,4,       0.001466
1,float,uniform,PoisFFT,"Ns | Ns",128,5,       0.001456
1,float,uniform,PoisFFT,"Ns | Ns",128,6,       0.001452
1,float,uniform,PoisFFT,"Ns | Ns",128,7,       0.001455
1,float,uniform,PoisFFT,"Ns | Ns",128,8,       0.001470
1,float,uniform,PoisFFT,"Ns | Ns",128,9,       0.001457
1,float,uniform,PoisFFT,"Ns | Ns",128,10,       0.001456
1,float,uniform,PoisFFT,"Ns | Ns",128,11,       0.001459
1,float,uniform,PoisFFT,"Ns | Ns",128,12,       0.001458
1,float,uniform,PoisFFT,"Ns | Ns",128,13,       0.001457
1,float,uniform,PoisFFT,"Ns | Ns",128,14,       0.001460
1,float,uniform,PoisFFT,"Ns | Ns",128,15,       0.001459
1,float,uniform,PoisFFT,"Ns | Ns",128,16,       0.001458
1,float,uniform,PoisFFT,"Ns | Ns",128,17,       0.001460
1,float,uniform,PoisFFT,"Ns | Ns",128,18,       0.001460
1,float,uniform,PoisFFT,"Ns | Ns",128,19,       0.001459
1,float,uniform,PoisFFT,"Ns | Ns",192,0,       0.003125
1,float,uniform,PoisFFT,"Ns | Ns",192,1,       0.002571
1,float,uniform,PoisFFT,"Ns | Ns",192,2,       0.002468
1,float,uniform,PoisFFT,"Ns | Ns",192,3,       0.002444
1,float,uniform,PoisFFT,"Ns | Ns",192,4,       0.002447
1,float,uniform,PoisFFT,"Ns | Ns",192,5,       0.002443
1,float,uniform,PoisFFT,"Ns | Ns",192,6,       0.002439
1,float,uniform,PoisFFT,"Ns | Ns",192,7,       0.002451
1,float,uniform,PoisFFT,"Ns | Ns",192,8,       0.002456
1,float,uniform,PoisFFT,"Ns | Ns",192,9,       0.002456
1,float,uniform,PoisFFT,"Ns | Ns",192,10,       0.002446
1,float,uniform,PoisFFT,"Ns | Ns",192,11,       0.002479
1,float,uniform,PoisFFT,"Ns | Ns",192,12,       0.002442
1,float,uniform,PoisFFT,"Ns | Ns",192,13,       0.002478
1,float,uniform,PoisFFT,"Ns | Ns",192,14,       0.002452
1,float,uniform,PoisFFT,"Ns | Ns",192,15,       0.002451
1,float,uniform,PoisFFT,"Ns | Ns",192,16,       0.002467
1,float,uniform,PoisFFT,"Ns | Ns",192,17,       0.002467
1,float,uniform,PoisFFT,"Ns | Ns",192,18,       0.002445
1,float,uniform,PoisFFT,"Ns | Ns",192,19,       0.002468
1,float,uniform,PoisFFT,"Ns | Ns",256,0,       0.003448
1,float,uniform,PoisFFT,"Ns | Ns",256,1,       0.003184
1,float,uniform,PoisFFT,"Ns | Ns",256,2,       0.003169
1,float,uniform,PoisFFT,"Ns | Ns",256,3,       0.003160
1,float,uniform,PoisFFT,"Ns | Ns",256,4,       0.003150
1,float,uniform,PoisFFT,"Ns | Ns",256,5,       0.003151
1,float,uniform,PoisFFT,"Ns | Ns",256,6,       0.003145
1,float,uniform,PoisFFT,"Ns | Ns",256,7,       0.003152
1,float,uniform,PoisFFT,"Ns | Ns",256,8,       0.003144
1,float,uniform,PoisFFT,"Ns | Ns",256,9,       0.003156
1,float,uniform,PoisFFT,"Ns | Ns",256,10,       0.003136
1,float,uniform,PoisFFT,"Ns | Ns",256,11,       0.003147
1,float,uniform,PoisFFT,"Ns | Ns",256,12,       0.003144
1,float,uniform,PoisFFT,"Ns | Ns",256,13,       0.005055
1,float,uniform,PoisFFT,"Ns | Ns",256,14,       0.003657
1,float,uniform,PoisFFT,"Ns | Ns",256,15,       0.003663
1,float,uniform,PoisFFT,"Ns | Ns",256,16,       0.003672
1,float,uniform,PoisFFT,"Ns | Ns",256,17,       0.003660
1,float,uniform,PoisFFT,"Ns | Ns",256,18,       0.014308
1,float,uniform,PoisFFT,"Ns | Ns",256,19,       0.003533
1,float,uniform,PoisFFT,"Ns | Ns",320,0,       0.005711
1,float,uniform,PoisFFT,"Ns | Ns",320,1,       0.004888
1,float,uniform,PoisFFT,"Ns | Ns",320,2,       0.021345
1,float,uniform,PoisFFT,"Ns | Ns",320,3,       0.005119
1,float,uniform,PoisFFT,"Ns | Ns",320,4,       0.005094
1,float,uniform,PoisFFT,"Ns | Ns",320,5,       0.005138
1,float,uniform,PoisFFT,"Ns | Ns",320,6,       0.005080
1,float,uniform,PoisFFT,"Ns | Ns",320,7,       0.005109
1,float,uniform,PoisFFT,"Ns | Ns",320,8,       0.005141
1,float,uniform,PoisFFT,"Ns | Ns",320,9,       0.005083
1,float,uniform,PoisFFT,"Ns | Ns",320,10,       0.005139
1,float,uniform,PoisFFT,"Ns | Ns",320,11,       0.005121
1,float,uniform,PoisFFT,"Ns | Ns",320,12,       0.005116
1,float,uniform,PoisFFT,"Ns | Ns",320,13,       0.005148
1,float,uniform,PoisFFT,"Ns | Ns",320,14,       0.005168
1,float,uniform,PoisFFT,"Ns | Ns",320,15,       0.005153
1,float,uniform,PoisFFT,"Ns | Ns",320,16,       0.005169
1,float,uniform,PoisFFT,"Ns | Ns",320,17,       0.005148
1,float,uniform,PoisFFT,"Ns | Ns",320,18,       0.005143
1,float,uniform,PoisFFT,"Ns | Ns",320,19,       0.005146
1,float,uniform,PoisFFT,"Ns | Ns",384,0,       0.006106
1,float,uniform,PoisFFT,"Ns | Ns",384,1,       0.021818
1,float,uniform,PoisFFT,"Ns | Ns",384,2,       0.005663
1,float,uniform,PoisFFT,"Ns | Ns",384,3,       0.005587
1,float,uniform,PoisFFT,"Ns | Ns",384,4,       0.005635
1,float,uniform,PoisFFT,"Ns | Ns",384,5,       0.005618
1,float,uniform,PoisFFT,"Ns | Ns",384,6,       0.005595
1,float,uniform,PoisFFT,"Ns | Ns",384,7,       0.005593
1,float,uniform,PoisFFT,"Ns | Ns",384,8,       0.005603
1,float,uniform,PoisFFT,"Ns | Ns",384,9,       0.005626
1,float,uniform,PoisFFT,"Ns | Ns",384,10,       0.005609
1,float,uniform,PoisFFT,"Ns | Ns",384,11,       0.005675
1,float,uniform,PoisFFT,"Ns | Ns",384,12,       0.005611
1,float,uniform,PoisFFT,"Ns | Ns",384,13,       0.005596
1,float,uniform,PoisFFT,"Ns | Ns",384,14,       0.005593
1,float,uniform,PoisFFT,"Ns | Ns",384,15,       0.005573
1,float,uniform,PoisFFT,"Ns | Ns",384,16,       0.005617
1,float,uniform,PoisFFT,"Ns | Ns",384,17,       0.005597
1,float,uniform,PoisFFT,"Ns | Ns",384,18,       0.005589
1,float,uniform,PoisFFT,"Ns | Ns",384,19,       0.005602
1,float,uniform,PoisFFT,"Ns | Ns",448,0,       0.007495
1,float,uniform,PoisFFT,"Ns | Ns",448,1,       0.006829
1,float,uniform,PoisFFT,"Ns | Ns",448,2,       0.006747
1,float,uniform,PoisFFT,"Ns | Ns",448,3,       0.006738
1,float,uniform,PoisFFT,"Ns | Ns",448,4,       0.006721
1,float,uniform,PoisFFT,"Ns | Ns",448,5,       0.006735
1,float,uniform,PoisFFT,"Ns | Ns",448,6,       0.006721
1,float,uniform,PoisFFT,"Ns | Ns",448,7,       0.006700
1,float,uniform,PoisFFT,"Ns | Ns",448,8,       0.006690
1,float,uniform,PoisFFT,"Ns | Ns",448,9,       0.006711
1,float,uniform,PoisFFT,"Ns | Ns",448,10,       0.026659
1,float,uniform,PoisFFT,"Ns | Ns",448,11,       0.007271
1,float,uniform,PoisFFT,"Ns | Ns",448,12,       0.007206
1,float,uniform,PoisFFT,"Ns | Ns",448,13,       0.007213
1,float,uniform,PoisFFT,"Ns | Ns",448,14,       0.007200
1,float,uniform,PoisFFT,"Ns | Ns",448,15,       0.023969
1,float,uniform,PoisFFT,"Ns | Ns",448,16,       0.007502
1,float,uniform,PoisFFT,"Ns | Ns",448,17,       0.007526
1,float,uniform,PoisFFT,"Ns | Ns",448,18,       0.007491
1,float,uniform,PoisFFT,"Ns | Ns",448,19,       0.007478
1,float,uniform,PoisFFT,"Ns | Ns",512,0,       0.007889
1,float,uniform,PoisFFT,"Ns | Ns",512,1,       0.007184
1,float,uniform,PoisFFT,"Ns | Ns",512,2,       0.007119
1,float,uniform,PoisFFT,"Ns | Ns",512,3,       0.007081
1,float,uniform,PoisFFT,"Ns | Ns",512,4,       0.007043
1,float,uniform,PoisFFT,"Ns | Ns",512,5,       0.007146
1,float,uniform,PoisFFT,"Ns | Ns",512,6,       0.007136
1,float,uniform,PoisFFT,"Ns | Ns",512,7,       0.008234
1,float,uniform,PoisFFT,"Ns | Ns",512,8,       0.007640
1,float,uniform,PoisFFT,"Ns | Ns",512,9,       0.007627
1,float,uniform,PoisFFT,"Ns | Ns",512,10,       0.011343
1,float,uniform,PoisFFT,"Ns | Ns",512,11,       0.007723
1,float,uniform,PoisFFT,"Ns | Ns",512,12,       0.007601
1,float,uniform,PoisFFT,"Ns | Ns",512,13,       0.007664
1,float,uniform,PoisFFT,"Ns | Ns",512,14,       0.007643
1,float,uniform,PoisFFT,"Ns | Ns",512,15,       0.007627
1,float,uniform,PoisFFT,"Ns | Ns",512,16,       0.007625
1,float,uniform,PoisFFT,"Ns | Ns",512,17,       0.007643
1,float,uniform,PoisFFT,"Ns | Ns",512,18,       0.007678
1,float,uniform,PoisFFT,"Ns | Ns",512,19,       0.007570
