dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,0,       3.093185
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,1,       2.188765
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,2,       2.210709
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,3,       2.311962
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,4,       2.359914
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,5,       2.158195
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,6,       2.302925
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,7,       2.085802
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,8,       2.263924
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,9,       2.255349
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,10,       2.435631
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,11,       2.472387
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,12,       2.289838
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,13,       2.125683
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,14,       2.350211
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,15,       2.118537
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,16,       2.160183
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,17,       2.455350
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,18,       2.106866
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,19,       2.213686
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,0,      32.727260
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,1,      32.269876
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,2,      31.977873
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,3,      32.253790
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,4,      32.230267
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,5,      32.154185
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,6,      32.049575
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,7,      32.200291
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,8,      32.326539
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,9,      32.178563
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,10,      32.454798
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,11,      32.083022
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,12,      32.081930
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,13,      32.254696
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,14,      32.164212
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,15,      43.839696
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,16,      32.300296
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,17,      32.295171
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,18,      32.334900
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,19,      32.469869
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,0,     134.704991
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,1,     134.648905
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,2,     143.528036
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,3,     133.971719
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,4,     147.044004
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,5,     154.658683
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,6,     162.880250
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,7,     172.041674
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,8,     164.337986
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,9,     173.069371
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,10,     168.991100
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,11,     172.347468
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,12,     177.616958
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,13,     181.462240
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,14,     158.858843
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,15,     168.029281
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,16,     169.955927
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,17,     156.084453
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,18,     155.397986
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,19,     156.296484
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,0,     157.044913
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,1,     149.174662
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,2,     144.904300
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,3,     144.954795
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,4,     147.456706
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,5,     147.994257
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,6,     146.465402
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,7,     147.698582
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,8,     146.122545
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,9,     146.190575
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,10,     147.923075
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,11,     145.146460
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,12,     146.179347
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,13,     146.117243
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,14,     145.095539
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,15,     144.834356
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,16,     146.283014
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,17,     144.705818
