dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"Ns | Ds",320,1,       0.004481
1,double,uniform,PoisFFT,"Ns | Ds",320,2,       0.004428
1,double,uniform,PoisFFT,"Ns | Ds",320,3,       0.004435
1,double,uniform,PoisFFT,"Ns | Ds",320,4,       0.004410
1,double,uniform,PoisFFT,"Ns | Ds",320,5,       0.004454
1,double,uniform,PoisFFT,"Ns | Ds",320,6,       0.004413
1,double,uniform,PoisFFT,"Ns | Ds",320,7,       0.004483
1,double,uniform,PoisFFT,"Ns | Ds",320,8,       0.004410
1,double,uniform,PoisFFT,"Ns | Ds",320,9,       0.004416
1,double,uniform,PoisFFT,"Ns | Ds",320,10,       0.004400
1,double,uniform,PoisFFT,"Ns | Ds",320,11,       0.004395
1,double,uniform,PoisFFT,"Ns | Ds",320,12,       0.004424
1,double,uniform,PoisFFT,"Ns | Ds",320,13,       0.021160
1,double,uniform,PoisFFT,"Ns | Ds",320,14,       0.004777
1,double,uniform,PoisFFT,"Ns | Ds",320,15,       0.004767
1,double,uniform,PoisFFT,"Ns | Ds",320,16,       0.004726
1,double,uniform,PoisFFT,"Ns | Ds",320,17,       0.004749
1,double,uniform,PoisFFT,"Ns | Ds",320,18,       0.004749
1,double,uniform,PoisFFT,"Ns | Ds",320,19,       0.004748
1,double,uniform,PoisFFT,"Ns | Ds",384,0,       0.006018
1,double,uniform,PoisFFT,"Ns | Ds",384,1,       0.005456
1,double,uniform,PoisFFT,"Ns | Ds",384,2,       0.005362
1,double,uniform,PoisFFT,"Ns | Ds",384,3,       0.005358
1,double,uniform,PoisFFT,"Ns | Ds",384,4,       0.005335
1,double,uniform,PoisFFT,"Ns | Ds",384,5,       0.005381
1,double,uniform,PoisFFT,"Ns | Ds",384,6,       0.005376
1,double,uniform,PoisFFT,"Ns | Ds",384,7,       0.005375
1,double,uniform,PoisFFT,"Ns | Ds",384,8,       0.005382
1,double,uniform,PoisFFT,"Ns | Ds",384,9,       0.005373
1,double,uniform,PoisFFT,"Ns | Ds",384,10,       0.005371
1,double,uniform,PoisFFT,"Ns | Ds",384,11,       0.021925
1,double,uniform,PoisFFT,"Ns | Ds",384,12,       0.005791
1,double,uniform,PoisFFT,"Ns | Ds",384,13,       0.005798
1,double,uniform,PoisFFT,"Ns | Ds",384,14,       0.005795
1,double,uniform,PoisFFT,"Ns | Ds",384,15,       0.005796
1,double,uniform,PoisFFT,"Ns | Ds",384,16,       0.005816
1,double,uniform,PoisFFT,"Ns | Ds",384,17,       0.005812
1,double,uniform,PoisFFT,"Ns | Ds",384,18,       0.005777
1,double,uniform,PoisFFT,"Ns | Ds",384,19,       0.005793
1,double,uniform,PoisFFT,"Ns | Ds",448,0,       0.007369
1,double,uniform,PoisFFT,"Ns | Ds",448,1,       0.006914
1,double,uniform,PoisFFT,"Ns | Ds",448,2,       0.006846
1,double,uniform,PoisFFT,"Ns | Ds",448,3,       0.006796
1,double,uniform,PoisFFT,"Ns | Ds",448,4,       0.006829
1,double,uniform,PoisFFT,"Ns | Ds",448,5,       0.006800
1,double,uniform,PoisFFT,"Ns | Ds",448,6,       0.006800
1,double,uniform,PoisFFT,"Ns | Ds",448,7,       0.006807
1,double,uniform,PoisFFT,"Ns | Ds",448,8,       0.006805
1,double,uniform,PoisFFT,"Ns | Ds",448,9,       0.007384
1,double,uniform,PoisFFT,"Ns | Ds",448,10,       0.007363
1,double,uniform,PoisFFT,"Ns | Ds",448,11,       0.007305
1,double,uniform,PoisFFT,"Ns | Ds",448,12,       0.007305
1,double,uniform,PoisFFT,"Ns | Ds",448,13,       0.007292
1,double,uniform,PoisFFT,"Ns | Ds",448,14,       0.007322
1,double,uniform,PoisFFT,"Ns | Ds",448,15,       0.007359
1,double,uniform,PoisFFT,"Ns | Ds",448,16,       0.007331
1,double,uniform,PoisFFT,"Ns | Ds",448,17,       0.007297
1,double,uniform,PoisFFT,"Ns | Ds",448,18,       0.007312
1,double,uniform,PoisFFT,"Ns | Ds",448,19,       0.007619
1,double,uniform,PoisFFT,"Ns | Ds",512,0,       0.007314
1,double,uniform,PoisFFT,"Ns | Ds",512,1,       0.006980
1,double,uniform,PoisFFT,"Ns | Ds",512,2,       0.006905
1,double,uniform,PoisFFT,"Ns | Ds",512,3,       0.006898
1,double,uniform,PoisFFT,"Ns | Ds",512,4,       0.006904
1,double,uniform,PoisFFT,"Ns | Ds",512,5,       0.007513
1,double,uniform,PoisFFT,"Ns | Ds",512,6,       0.006919
1,double,uniform,PoisFFT,"Ns | Ds",512,7,       0.006936
1,double,uniform,PoisFFT,"Ns | Ds",512,8,       0.023392
1,double,uniform,PoisFFT,"Ns | Ds",512,9,       0.007426
1,double,uniform,PoisFFT,"Ns | Ds",512,10,       0.007571
1,double,uniform,PoisFFT,"Ns | Ds",512,11,       0.007423
1,double,uniform,PoisFFT,"Ns | Ds",512,12,       0.007463
1,double,uniform,PoisFFT,"Ns | Ds",512,13,       0.007443
1,double,uniform,PoisFFT,"Ns | Ds",512,14,       0.007463
1,double,uniform,PoisFFT,"Ns | Ds",512,15,       0.007460
1,double,uniform,PoisFFT,"Ns | Ds",512,16,       0.007418
1,double,uniform,PoisFFT,"Ns | Ds",512,17,       0.007450
1,double,uniform,PoisFFT,"Ns | Ds",512,18,       0.007443
1,double,uniform,PoisFFT,"Ns | Ds",512,19,       0.007474
